Zone,Bus_id,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost ($/MWh),EF,CC,Charging Rate,Discharging Rate
Amprion,B626,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B627,BES,100.0,50.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B632,PHS,5000.0,625.0,0.84,0.84,0.5,0.0,0.95,1.0,1.0
Amprion,B64,BES,4.0,2.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B640,BES,6.2,3.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B642,BES,0.92,0.46,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B643,BES,3.4200000000000004,1.7100000000000002,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B644,BES,280.7,140.35,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B645,BES,23.84,11.92,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B648,BES,4.2,2.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B649,BES,0.24,0.12,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B664,BES,2.752,1.376,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B670,BES,1.216,0.608,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B693,BES,3.4000000000000004,1.7000000000000002,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B694,BES,0.5680000000000001,0.28400000000000003,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B713,BES,42.404,21.202,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B720,BES,1.52,0.76,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B725,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B728,BES,0.8,0.4,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B738,PHS,10328.0,1291.0,0.84,0.84,0.5,0.0,0.95,1.0,1.0
Amprion,B746,BES,9.0,4.5,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B775,BES,12.479999999999999,6.239999999999999,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B776,BES,144.0,72.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B78,BES,0.23,0.115,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B782,BES,1.0,0.5,0.9,0.9,1.0,0.0,0.95,0.5,1.0
