Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26,Load_MW_z27,Load_MW_z28,Load_MW_z29,Load_MW_z30,Load_MW_z31,Load_MW_z32,Load_MW_z33,Load_MW_z34,Load_MW_z35,Load_MW_z36,Load_MW_z37,Load_MW_z38,Load_MW_z39,Load_MW_z40,Load_MW_z41,Load_MW_z42,Load_MW_z43,Load_MW_z44,Load_MW_z45,Load_MW_z46,Load_MW_z47,Load_MW_z48,Load_MW_z49,Load_MW_z50,Load_MW_z51,Load_MW_z52,Load_MW_z53,Load_MW_z54,Load_MW_z55,Load_MW_z56,Load_MW_z57,Load_MW_z58,Load_MW_z59,Load_MW_z60,Load_MW_z61,Load_MW_z62,Load_MW_z63,Load_MW_z64
,,,,,,,,36,39358,1749,567,28865,1927,3432,10598,2338,3526,11931,4521,7785,9730,2701,4055,3223,3085,4870,3203,8758,1425,1859,1150,2036,6055,1855,1239,938,212,4511,16916,6505,19172,6060,12701,9399,12347,2195,22413,4260,745,18190,25342,3138,7938,10931,1465,1750,9399,7078,2350,7414,2055,1326,2693,1104,2980,4445,21219,7315,2676,8920,4054,139
,,,,,,,,37,39542,1757,583,29627,1906,3436,10536,2330,3517,11919,4492,7783,9715,2713,4074,3233,3105,4892,3180,8757,1428,1850,1145,2026,6000,1837,1233,933,211,4460,16783,6471,19033,6005,12718,9347,12068,2170,22141,4230,740,18277,25567,3097,7937,10894,1469,1727,9556,7183,2384,7523,2039,1348,2654,1130,3046,4397,21031,7285,2649,8861,4052,142
,,,,,,,,38,40060,1780,602,30092,1883,3429,10505,2322,3506,11777,4475,7694,9615,2745,4107,3255,3121,4933,3144,8676,1394,1846,1143,2023,5978,1831,1230,931,211,4426,16682,6406,18895,5953,12699,9293,11963,2154,21950,4174,737,18223,25343,3077,7906,10912,1481,1706,9608,7224,2398,7566,1997,1356,2617,1141,3077,4356,20751,7224,2624,8822,4055,142
,,,,,,,,39,40483,1799,609,30477,1873,3435,10299,2302,3475,11563,4438,7557,9511,2769,4123,3263,3110,4951,3130,8621,1381,1833,1134,2007,5918,1812,1222,924,209,4359,16496,6362,18640,5873,12720,9162,11829,2121,21902,4172,732,18060,25157,3028,7844,10880,1488,1699,9628,7229,2399,7571,1980,1359,2601,1146,3087,4321,20612,7307,2625,8791,4052,142
,,,,,,,,40,40940,1819,623,30715,1872,3402,10292,2275,3437,11463,4398,7483,9420,2796,4150,3285,3123,4985,3094,8542,1344,1821,1128,1995,5910,1810,1214,919,208,4294,16382,6297,18471,5797,12589,9035,11743,2090,22006,4230,725,18170,25150,2998,7768,10902,1499,1704,9589,7193,2388,7535,1966,1353,2550,1153,3105,4260,20403,7283,2633,8819,4059,142
,,,,,,,,41,41595,1848,657,30553,1899,3384,10311,2275,3444,11438,4392,7484,9494,2841,4210,3332,3171,5057,3062,8476,1324,1823,1129,1997,5953,1823,1215,920,208,4314,16424,6339,18473,5827,12510,9014,11754,2099,22361,4306,724,18466,25460,2996,7774,11008,1514,1728,9622,7215,2396,7558,1958,1358,2513,1152,3100,4210,20167,7377,2676,8740,4070,142
,,,,,,,,42,42044,1868,692,30564,1935,3359,10356,2286,3469,11438,4424,7516,9611,2873,4262,3368,3214,5119,3062,8488,1329,1834,1134,2008,6046,1852,1222,925,209,4357,16636,6397,18531,5883,12400,9011,11844,2120,23430,4397,729,18788,25795,2997,7808,11090,1529,1765,9574,7176,2382,7517,1958,1351,2489,1145,3081,4173,20089,7408,2700,8828,4086,141
,,,,,,,,43,42240,1877,719,30662,1956,3314,10407,2304,3505,11582,4463,7667,9706,2892,4314,3410,3282,5181,3081,8570,1362,1846,1143,2022,6158,1885,1230,931,211,4418,16971,6430,18587,5915,12223,8982,11972,2150,24238,4490,736,18965,26554,3006,7857,11230,1537,1790,9489,7119,2363,7456,1968,1339,2505,1147,3084,4207,20252,7512,2766,9026,4102,140
,,,,,,,,44,42548,1890,679,29788,1941,3341,10567,2377,3610,11841,4647,7832,9808,2918,4382,3463,3352,5263,3141,8814,1410,1917,1186,2099,6399,1960,1277,968,219,4587,17889,6777,18876,6139,12326,9100,12637,2232,23585,4349,766,19367,27402,3058,8049,11375,1554,1786,9420,7075,2349,7411,1990,1329,2527,1151,3096,4256,20665,7579,2798,9246,4153,139
,,,,,,,,45,43462,1931,626,27286,1863,3447,10449,2331,3524,11462,4641,7540,9612,2975,4445,3500,3320,5338,3354,9232,1469,1898,1175,2079,6325,1937,1265,958,217,4575,17774,6740,19077,6161,12727,9360,12719,2227,21942,4134,765,18881,26360,3120,8088,11589,1599,1712,9375,7054,2342,7388,2046,1323,2549,1159,3119,4345,21079,7520,2774,9631,4327,139
,,,,,,,,46,41865,1860,579,24325,1766,3386,10117,2207,3332,10757,4407,7073,9146,2871,4314,3382,3183,5182,3271,8950,1418,1806,1118,1978,5987,1834,1204,911,206,4355,16897,6364,18272,5871,12515,9020,11951,2119,20179,3825,727,17863,24481,2981,7723,11135,1559,1606,9483,7143,2372,7483,2047,1339,2584,1176,3170,4419,21359,7701,2737,9926,4312,141
