Period_Index,Rep_Period,Rep_Period_Index
894,719,9
895,719,9
896,719,9
897,719,9
898,719,9
899,719,9
900,1067,11
901,574,7
902,719,9
903,719,9
904,719,9
905,1067,11
906,719,9
907,1067,11
908,719,9
909,719,9
910,719,9
911,1067,11
912,574,7
913,719,9
914,1067,11
915,1067,11
916,719,9
917,719,9
918,719,9
919,762,10
920,762,10
921,762,10
922,24,1
923,574,7
924,24,1
925,762,10
926,762,10
927,24,1
928,24,1
929,24,1
930,24,1
931,762,10
932,762,10
933,24,1
934,574,7
935,24,1
936,762,10
937,762,10
938,24,1
939,762,10
940,24,1
941,24,1
942,24,1
943,762,10
944,24,1
945,574,7
946,24,1
947,24,1
948,762,10
949,762,10
950,762,10
951,24,1
952,762,10
953,762,10
954,1515,14
955,1515,14
956,574,7
957,1515,14
958,1515,14
959,1515,14
960,1515,14
961,1515,14
962,1515,14
963,1515,14
964,762,10
965,762,10
966,1515,14
967,574,7
968,1515,14
969,1515,14
970,1515,14
971,1515,14
972,1515,14
973,1515,14
974,1515,14
975,762,10
976,762,10
977,1515,14
978,574,7
979,762,10
980,762,10
981,1515,14
982,762,10
983,1515,14
984,73,2
985,73,2
986,73,2
987,73,2
988,1898,16
989,574,7
990,1898,16
991,73,2
992,73,2
993,73,2
994,1898,16
995,1898,16
996,1898,16
997,73,2
998,1898,16
999,1898,16
1000,762,10
1001,574,7
1002,1898,16
1003,1898,16
1004,1898,16
1005,1898,16
1006,1898,16
1007,1898,16
1008,1898,16
1009,1898,16
1010,1898,16
1011,1898,16
1012,574,7
1013,73,2
1014,1898,16
1015,73,2
1016,73,2
1017,1898,16
1018,1898,16
1019,480,6
1020,480,6
1021,480,6
1022,1201,13
1023,574,7
1024,1201,13
1025,1201,13
1026,1201,13
1027,1201,13
1028,1201,13
1029,1201,13
1030,1201,13
1031,480,6
1032,480,6
1033,480,6
1034,574,7
1035,1201,13
1036,1201,13
1037,1201,13
1038,480,6
1039,480,6
1040,480,6
1041,1201,13
1042,1201,13
1043,1201,13
1044,1201,13
1045,574,7
1046,480,6
1047,1201,13
1048,1201,13
1049,480,6
1050,480,6
1051,480,6
1052,480,6
1053,1949,17
1054,1949,17
1055,1949,17
1056,574,7
1057,1949,17
1058,1949,17
1059,1949,17
1060,1949,17
1061,1949,17
1062,1949,17
1063,1949,17
1064,1949,17
1065,1949,17
1066,1949,17
1067,574,7
1068,1949,17
1069,1949,17
1070,1949,17
1071,1071,12
1072,1949,17
1073,1949,17
1074,1949,17
1075,1949,17
1076,1949,17
1077,1949,17
1078,1949,17
1079,574,7
1080,1949,17
1081,1949,17
1082,1949,17
1083,1949,17
1084,1949,17
1085,178,3
1086,178,3
1087,1949,17
1088,1949,17
1089,178,3
1090,574,7
1091,178,3
1092,178,3
1093,178,3
1094,178,3
1095,178,3
1096,178,3
1097,178,3
1098,178,3
1099,178,3
1100,178,3
1101,574,7
1102,178,3
1103,178,3
1104,178,3
1105,178,3
1106,178,3
1107,178,3
1108,178,3
1109,178,3
1110,178,3
1111,178,3
1112,24,1
1113,24,1
1114,574,7
1115,178,3
1116,178,3
1117,178,3
1118,178,3
1119,178,3
1120,178,3
1121,574,7
1122,574,7
1123,574,7
1124,574,7
1125,574,7
1126,574,7
1127,574,7
1128,574,7
1129,574,7
1130,574,7
1131,574,7
1132,574,7
1133,574,7
1134,574,7
1135,574,7
1136,574,7
1137,574,7
1138,574,7
1139,574,7
1140,574,7
1141,574,7
1142,574,7
1143,574,7
1144,574,7
1145,574,7
1146,574,7
1147,574,7
1148,574,7
1149,574,7
1150,574,7
1151,574,7
1152,574,7
1153,574,7
1154,574,7
1155,574,7
1156,574,7
1157,574,7
1158,574,7
1159,1690,15
1160,574,7
1161,574,7
1162,1690,15
1163,1690,15
1164,1690,15
1165,1690,15
1166,1690,15
1167,1690,15
1168,1690,15
1169,574,7
1170,1690,15
1171,1690,15
1172,1690,15
1173,1690,15
1174,1690,15
1175,1690,15
1176,1690,15
1177,1690,15
1178,1690,15
1179,574,7
1180,1690,15
1181,1690,15
1182,1690,15
1183,1690,15
1184,1690,15
1185,1690,15
1186,1690,15
1187,1690,15
1188,2444,19
1189,1690,15
1190,574,7
1191,1690,15
1192,2444,19
1193,2444,19
1194,1690,15
1195,1690,15
1196,1690,15
1197,2444,19
1198,2444,19
1199,2444,19
1200,1690,15
1201,574,7
1202,2444,19
1203,2444,19
1204,2444,19
1205,2444,19
1206,2444,19
1207,2444,19
1208,2487,20
1209,2444,19
1210,2444,19
1211,2444,19
1212,574,7
1213,2444,19
1214,2444,19
1215,2444,19
1216,2444,19
1217,2444,19
1218,2444,19
1219,2444,19
1220,2444,19
1221,2444,19
1222,279,5
1223,24,1
1224,574,7
1225,2444,19
1226,279,5
1227,279,5
1228,279,5
1229,2487,20
1230,279,5
1231,279,5
1232,279,5
1233,2487,20
1234,2487,20
1235,1690,15
1236,2487,20
1237,279,5
1238,2487,20
1239,2487,20
1240,2487,20
1241,279,5
1242,2487,20
1243,2487,20
1244,2487,20
1245,2487,20
1246,574,7
1247,279,5
1248,279,5
1249,279,5
1250,279,5
1251,279,5
1252,279,5
1253,2487,20
1254,2487,20
1255,2487,20
1256,2487,20
1257,1690,15
1258,2487,20
1259,2487,20
1260,2487,20
1261,686,8
1262,686,8
1263,686,8
1264,686,8
1265,686,8
1266,686,8
1267,686,8
1268,1690,15
1269,686,8
1270,1067,11
1271,686,8
1272,686,8
1273,686,8
1274,686,8
1275,686,8
1276,686,8
1277,686,8
1278,686,8
1279,574,7
1280,686,8
1281,686,8
1282,686,8
1283,1067,11
1284,686,8
1285,686,8
1286,686,8
1287,686,8
1288,686,8
1289,719,9
1290,1690,15
1291,719,9
1292,1067,11
1293,719,9
1294,1067,11
1295,1067,11
1296,719,9
1297,719,9
1298,719,9
1299,719,9
1300,1067,11
1301,1690,15
1302,719,9
1303,719,9
1304,719,9
1305,719,9
1306,719,9
1307,719,9
1308,719,9
1309,719,9
1310,719,9
1311,719,9
1312,1690,15
1313,1067,11
1314,1067,11
1315,719,9
1316,719,9
1317,719,9
1318,1067,11
1319,1067,11
1320,719,9
1321,719,9
1322,1067,11
1323,1690,15
1324,1067,11
1325,24,1
1326,24,1
1327,24,1
1328,762,10
1329,24,1
1330,24,1
1331,24,1
1332,24,1
1333,762,10
1334,24,1
1335,1690,15
1336,24,1
1337,762,10
1338,24,1
1339,24,1
1340,24,1
1341,24,1
1342,24,1
1343,24,1
1344,24,1
1345,762,10
1346,1690,15
1347,762,10
1348,24,1
1349,24,1
1350,24,1
1351,24,1
1352,24,1
1353,24,1
1354,1515,14
1355,762,10
1356,762,10
1357,1690,15
1358,762,10
1359,762,10
1360,762,10
1361,24,1
1362,24,1
1363,1515,14
1364,1515,14
1365,1515,14
1366,1515,14
1367,762,10
1368,1690,15
1369,1515,14
1370,1515,14
1371,762,10
1372,1515,14
1373,1515,14
1374,1515,14
1375,1515,14
1376,1515,14
1377,762,10
1378,1515,14
1379,1690,15
1380,762,10
1381,762,10
1382,1515,14
1383,1515,14
1384,1515,14
1385,1515,14
1386,1515,14
1387,762,10
1388,762,10
1389,1515,14
1390,1690,15
1391,73,2
1392,73,2
1393,73,2
1394,73,2
1395,1898,16
1396,73,2
1397,73,2
1398,73,2
1399,1898,16
1400,73,2
1401,1690,15
1402,73,2
1403,73,2
1404,73,2
1405,73,2
1406,73,2
1407,1898,16
1408,1898,16
1409,73,2
1410,73,2
1411,73,2
1412,1690,15
1413,1898,16
1414,73,2
1415,1898,16
1416,1898,16
1417,73,2
1418,1898,16
1419,73,2
1420,73,2
1421,1898,16
1422,1898,16
1423,1690,15
1424,1201,13
1425,1201,13
1426,1201,13
1427,1201,13
1428,480,6
1429,1201,13
1430,480,6
1431,1201,13
1432,480,6
1433,480,6
1434,1690,15
1435,480,6
1436,1201,13
1437,1201,13
1438,1201,13
1439,480,6
1440,480,6
1441,1201,13
1442,480,6
1443,1201,13
1444,1201,13
1445,24,1
1446,1690,15
1447,1201,13
1448,480,6
1449,480,6
1450,480,6
1451,1201,13
1452,480,6
1453,480,6
1454,480,6
1455,1201,13
1456,1201,13
1457,1690,15
1458,480,6
1459,480,6
1460,480,6
1461,1949,17
1462,1949,17
1463,1949,17
1464,1949,17
1465,1949,17
1466,1949,17
1467,1949,17
1468,2444,19
1469,1949,17
1470,1949,17
1471,1949,17
1472,1949,17
1473,1949,17
1474,1949,17
1475,1949,17
1476,1949,17
1477,1949,17
1478,1949,17
1479,2444,19
1480,1949,17
1481,1949,17
1482,1949,17
1483,1949,17
1484,1949,17
1485,1949,17
1486,1949,17
1487,1949,17
1488,1949,17
1489,1949,17
1490,1690,15
1491,1949,17
1492,1949,17
1493,1949,17
1494,1949,17
1495,178,3
1496,178,3
1497,178,3
1498,178,3
1499,178,3
1500,178,3
1501,1690,15
1502,178,3
1503,178,3
1504,178,3
1505,178,3
1506,178,3
1507,178,3
1508,178,3
1509,178,3
1510,178,3
1511,178,3
1512,1690,15
1513,178,3
1514,178,3
1515,178,3
1516,178,3
1517,178,3
1518,178,3
1519,178,3
1520,178,3
1521,178,3
1522,178,3
1523,1690,15
1524,574,7
1525,574,7
1526,574,7
1527,574,7
1528,574,7
1529,574,7
1530,574,7
1531,574,7
1532,574,7
1533,574,7
1534,1690,15
1535,574,7
1536,574,7
1537,574,7
1538,574,7
1539,574,7
1540,574,7
1541,574,7
1542,574,7
1543,574,7
1544,574,7
1545,1690,15
1546,574,7
1547,574,7
1548,574,7
1549,574,7
1550,574,7
1551,574,7
1552,574,7
1553,574,7
1554,574,7
1555,574,7
1556,24,1
1557,1690,15
1558,574,7
1559,574,7
1560,574,7
1561,574,7
1562,574,7
1563,574,7
1564,574,7
1565,1690,15
1566,1690,15
1567,1690,15
1568,1690,15
1569,1690,15
1570,1690,15
1571,1690,15
1572,1690,15
1573,1690,15
1574,1690,15
1575,1690,15
1576,1690,15
1577,1690,15
1578,1690,15
1579,1690,15
1580,1690,15
1581,1690,15
1582,1690,15
1583,1690,15
1584,1690,15
1585,1690,15
1586,1690,15
1587,1690,15
1588,2444,19
1589,1690,15
1590,1690,15
1591,1690,15
1592,1690,15
1593,1690,15
1594,1690,15
1595,1690,15
1596,2444,19
1597,2444,19
1598,2444,19
1599,1690,15
1600,1690,15
1601,1690,15
1602,2444,19
1603,2444,19
1604,2444,19
1605,2444,19
1606,2444,19
1607,2444,19
1608,2444,19
1609,2444,19
1610,2444,19
1611,2444,19
1612,1690,15
1613,2444,19
1614,2444,19
1615,2444,19
1616,2444,19
1617,2444,19
1618,2444,19
1619,2444,19
1620,2444,19
1621,2444,19
1622,279,5
1623,2444,19
1624,279,5
1625,279,5
1626,2444,19
1627,279,5
1628,2444,19
1629,2444,19
1630,279,5
1631,279,5
1632,279,5
1633,2487,20
1634,1690,15
1635,2487,20
1636,279,5
1637,279,5
1638,279,5
1639,279,5
1640,2487,20
1641,279,5
1642,279,5
1643,279,5
1644,2487,20
1645,1690,15
1646,279,5
1647,2487,20
1648,2487,20
1649,2487,20
1650,2487,20
1651,2487,20
1652,2487,20
1653,2487,20
1654,2487,20
1655,2487,20
1656,2444,19
1657,2487,20
1658,279,5
1659,279,5
1660,279,5
1661,1067,11
1662,2487,20
1663,686,8
1664,686,8
1665,686,8
1666,686,8
1667,24,1
1668,2444,19
1669,1067,11
1670,1067,11
1671,1067,11
1672,686,8
1673,1067,11
1674,686,8
1675,1067,11
1676,686,8
1677,686,8
1678,686,8
1679,2444,19
1680,686,8
1681,1067,11
1682,1067,11
1683,1067,11
1684,686,8
1685,686,8
1686,686,8
1687,1067,11
1688,1067,11
1689,686,8
1690,2444,19
1691,686,8
1692,1067,11
1693,686,8
1694,686,8
1695,686,8
1696,719,9
1697,719,9
1698,719,9
1699,719,9
1700,1067,11
1701,2444,19
1702,719,9
1703,719,9
1704,719,9
1705,719,9
1706,1067,11
1707,1067,11
1708,1067,11
1709,719,9
1710,719,9
1711,1067,11
1712,2444,19
1713,719,9
1714,719,9
1715,1067,11
1716,1067,11
1717,1067,11
1718,1067,11
1719,1067,11
1720,719,9
1721,719,9
1722,719,9
1723,2444,19
1724,719,9
1725,719,9
1726,1067,11
1727,719,9
1728,24,1
1729,24,1
1730,1690,15
1731,2444,19
1732,2444,19
1733,2444,19
1734,24,1
1735,279,5
1736,2444,19
1737,2444,19
1738,2444,19
1739,2444,19
1740,2444,19
1741,2444,19
1742,2444,19
1743,2444,19
1744,2444,19
1745,24,1
1746,2444,19
1747,2444,19
1748,279,5
1749,279,5
1750,2487,20
1751,2487,20
1752,2487,20
1753,279,5
1754,279,5
1755,279,5
1756,24,1
1757,279,5
1758,279,5
1759,279,5
1760,279,5
1761,2487,20
1762,2487,20
1763,279,5
1764,279,5
1765,279,5
1766,279,5
1767,24,1
1768,279,5
1769,279,5
1770,2487,20
1771,2487,20
1772,279,5
1773,279,5
1774,2487,20
1775,279,5
1776,2487,20
1777,2487,20
1778,24,1
1779,24,1
1780,2487,20
1781,2487,20
1782,279,5
1783,279,5
1784,2487,20
1785,2487,20
1786,686,8
1787,2487,20
1788,686,8
1789,686,8
1790,24,1
1791,1067,11
1792,686,8
1793,686,8
1794,686,8
1795,686,8
1796,686,8
1797,686,8
1798,686,8
1799,686,8
1800,1067,11
1801,24,1
1802,1067,11
1803,686,8
1804,686,8
1805,686,8
1806,686,8
1807,686,8
1808,1067,11
1809,686,8
1810,686,8
1811,686,8
1812,24,1
1813,686,8
1814,1067,11
1815,686,8
1816,1067,11
1817,1067,11
1818,719,9
1819,1067,11
1820,1067,11
1821,1067,11
1822,719,9
1823,762,10
1824,719,9
1825,719,9
1826,719,9
1827,719,9
1828,719,9
1829,719,9
1830,1067,11
1831,719,9
1832,719,9
1833,719,9
1834,762,10
1835,1067,11
1836,1067,11
1837,719,9
1838,719,9
1839,719,9
1840,719,9
1841,1067,11
1842,1067,11
1843,1067,11
1844,719,9
1845,762,10
1846,719,9
1847,719,9
1848,719,9
1849,719,9
1850,719,9
1851,719,9
1852,762,10
1853,762,10
1854,24,1
1855,762,10
1856,1515,14
1857,762,10
1858,762,10
1859,762,10
1860,762,10
1861,762,10
1862,24,1
1863,762,10
1864,24,1
1865,24,1
1866,24,1
1867,762,10
1868,24,1
1869,24,1
1870,24,1
1871,24,1
1872,24,1
1873,762,10
1874,24,1
1875,762,10
1876,24,1
1877,24,1
1878,762,10
1879,24,1
1880,24,1
1881,24,1
1882,1515,14
1883,762,10
1884,762,10
1885,1515,14
1886,762,10
1887,1515,14
1888,1515,14
1889,762,10
1890,1515,14
1891,1515,14
1892,762,10
1893,762,10
1894,1515,14
1895,1515,14
1896,762,10
1897,762,10
1898,1515,14
1899,1515,14
1900,762,10
1901,1515,14
1902,1515,14
1903,1515,14
1904,1515,14
1905,762,10
1906,762,10
1907,762,10
1908,1515,14
1909,1515,14
1910,1515,14
1911,1515,14
1912,1515,14
1913,1515,14
1914,1515,14
1915,1515,14
1916,73,2
1917,1515,14
1918,73,2
1919,1898,16
1920,73,2
1921,73,2
1922,73,2
1923,1515,14
1924,1898,16
1925,1898,16
1926,73,2
1927,73,2
1928,1898,16
1929,1898,16
1930,73,2
1931,1898,16
1932,1898,16
1933,1898,16
1934,1515,14
1935,73,2
1936,1898,16
1937,73,2
1938,73,2
1939,73,2
1940,73,2
1941,1898,16
1942,1898,16
1943,1898,16
1944,1898,16
1945,762,10
1946,73,2
1947,1898,16
1948,73,2
1949,1898,16
1950,1898,16
1951,73,2
1952,1201,13
1953,1201,13
1954,480,6
1955,1201,13
1956,762,10
1957,480,6
1958,1201,13
1959,1201,13
1960,480,6
