PlantCode,PlantName,SourceTechnology,State,LoadZone,Latitude,Longitude,Pmax (MW),Pmin (MW),Zone,Bus_id,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW),RM_REG_UP,RM_REG_DN,RM_NSPIN
57002,Oakfield Wind Project,Onshore Wind Turbine,ME,ME,46.058056,-68.147222,148.0,0.0,Maine,189,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
544,Devon Station,Petroleum Liquids,CT,CT,41.209797,-73.108976,132.4,0.0,ROP,107,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
56829,Kibby Wind Facility,Onshore Wind Turbine,ME,ME,45.3853,-70.5258,132.0,0.0,Maine,45,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
55031,Androscoggin Energy Center,Natural Gas Fired Combustion Turbine,ME,ME,44.506315,-70.242312,130.2,0.0,Maine,186,NGCT,1,0,0,0,58.0,0.59,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.06,0.06,0.09
1592,Exelon Medway LLC,Petroleum Liquids,MA,NEMA/Boston,42.140028,-71.446441,123.1,0.0,SENE,28,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
66955,Three Corners Solar,Solar Photovoltaic,ME,ME,44.612621,-69.451817,110.0,0.0,Maine,174,SolarPV,0,1,1,0,2.0,0.0,0.26,1.0,0.03,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
1660,Potter Station 2,Natural Gas Fired Combustion Turbine,MA,NEMA/Boston,42.235,-70.9672,105.2,0.0,SENE,246,NGCT,1,0,0,0,58.0,0.59,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.06,0.06,0.09
1682,Cleary Flood Hybrid,Natural Gas Fired Combined Cycle,MA,SEMA,41.8653,-71.1061,103.0,0.0,SENE,82,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
50406,Somerset Plant,Wood/Wood Waste Biomass,ME,ME,44.703467,-69.647441,99.8,0.0,Maine,174,Bio,1,1,0,0,39.0,0.1,0.9,0.9,0.08,0.06,0.4,0.4,1,6,6,6.0,0.03,0.03,0.045
58004,Granite Reliable Power,Onshore Wind Turbine,NH,NH,44.704444,-71.2925,99.0,0.0,NNE,76,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
56629,Waterbury Generation,Natural Gas Fired Combustion Turbine,CT,CT,41.5444,-73.0417,96.0,0.0,ROP,119,NGCT,1,0,0,0,58.0,0.59,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.06,0.06,0.09
542,Cos Cob,Petroleum Liquids,CT,CT,41.0289,-73.5989,95.6,0.0,ROP,147,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
2367,Schiller,Conventional Steam Coal,NH,NH,43.0978,-70.7842,95.4,0.0,NNE,128,Coal,1,0,0,0,48.0,0.95,0.9,0.92,0.08,0.08,0.25,0.25,1,8,8,9.0,0.04,0.04,0.06
1511,Wyman Hydro,Conventional Hydroelectric,ME,ME,45.0703,-69.9064,88.5,0.0,Maine,212,Hydro,0,1,0,0,7.5,0.0,0.7,0.65,0.04,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
1492,Harris Hydro,Conventional Hydroelectric,ME,ME,45.4592,-69.8658,86.0,0.0,Maine,45,Hydro,0,1,0,0,7.5,0.0,0.7,0.65,0.04,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
10495,Rumford Cogeneration,Wood/Wood Waste Biomass,ME,ME,44.5513,-70.5414,85.0,0.0,Maine,8,Bio,1,1,0,0,39.0,0.1,0.9,0.9,0.08,0.06,0.4,0.4,1,6,6,6.0,0.03,0.03,0.045
546,Montville Station,Natural Gas Steam Turbine,CT,CT,41.4281,-72.1019,81.0,0.0,ROP,136,NGCT,1,0,0,0,58.0,0.59,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.06,0.06,0.09
50290,SEMASS Resource Recovery,Municipal Solid Waste,MA,SEMA,41.8022,-70.7875,80.0,0.0,SENE,167,MSW,1,1,0,0,32.0,0.08,0.9,0.92,0.08,0.06,0.35,0.35,1,6,6,5.0,0.03,0.03,0.045
64337,Farmington Solar,Solar Photovoltaic,ME,ME,44.654659,-70.100835,77.0,0.0,Maine,209,SolarPV,0,1,1,0,2.0,0.0,0.26,1.0,0.03,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
6635,A L Pierce,Natural Gas Fired Combustion Turbine,CT,CT,41.44823,-72.834884,74.1,0.0,ROP,152,NGCT,1,0,0,0,58.0,0.59,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.06,0.06,0.09
63132,Weaver Wind,Onshore Wind Turbine,ME,ME,44.722519,-68.163611,72.6,0.0,Maine,191,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
54134,Great Lakes Hydro America - ME,Conventional Hydroelectric,ME,ME,45.647179,-68.704368,72.5,0.0,Maine,189,Hydro,0,1,0,0,7.5,0.0,0.7,0.65,0.04,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
56189,"Waterside Power, LLC",Petroleum Liquids,CT,CT,41.0372,-73.5564,69.9,0.0,ROP,147,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
58054,Burgess BioPower,Wood/Wood Waste Biomass,NH,NH,44.471944,-71.175278,67.5,0.0,NNE,76,Bio,1,1,0,0,39.0,0.1,0.9,0.9,0.08,0.06,0.4,0.4,1,6,6,6.0,0.03,0.03,0.045
57979,Kingdom Community Wind,Onshore Wind Turbine,VT,VT,44.748333,-72.425278,65.0,0.0,NNE,18,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
10567,Algonquin Windsor Locks,Natural Gas Fired Combined Cycle,CT,CT,41.9227,-72.6255,64.0,0.0,ROP,196,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
63559,MMWEC Simple Cycle Gas Turbine,Natural Gas Fired Combustion Turbine,MA,NEMA/Boston,42.54342,-70.927967,63.0,0.0,SENE,231,NGCT,1,0,0,0,58.0,0.59,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.06,0.06,0.09
52026,Dartmouth Power Associates LP,Natural Gas Fired Combined Cycle,MA,SEMA,41.6731,-70.9994,62.1,0.0,SENE,79,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
1629,Cabot,Conventional Hydroelectric,MA,WCMA,42.5875,-72.5793,61.8,0.0,ROP,146,Hydro,0,1,0,0,7.5,0.0,0.7,0.65,0.04,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
56990,Rollins Wind Project,Onshore Wind Turbine,ME,ME,45.34598,-68.3802,60.0,0.0,Maine,189,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
50883,Wheelabrator Bridgeport,Municipal Solid Waste,CT,CT,41.1625,-73.2083,58.0,0.0,ROP,107,MSW,1,1,0,0,32.0,0.08,0.9,0.92,0.08,0.06,0.35,0.35,1,6,6,5.0,0.03,0.03,0.045
56989,Stetson Wind I,Onshore Wind Turbine,ME,ME,45.4822,-67.9944,57.0,0.0,Maine,189,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
50447,S D Warren Westbrook,Wood/Wood Waste Biomass,ME,ME,43.684857,-70.353152,56.3,0.0,Maine,145,Bio,1,1,0,0,39.0,0.1,0.9,0.9,0.08,0.06,0.4,0.4,1,6,6,6.0,0.03,0.03,0.045
589,J C McNeil,Wood/Wood Waste Biomass,VT,VT,44.4917,-73.208056,52.0,0.0,NNE,3,Bio,1,1,0,0,39.0,0.1,0.9,0.9,0.08,0.06,0.4,0.4,1,6,6,6.0,0.03,0.03,0.045
58686,Hancock Wind Plant,Onshore Wind Turbine,ME,ME,44.760833,-68.146944,51.0,0.0,Maine,188,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
57568,Record Hill Wind,Onshore Wind Turbine,ME,ME,44.633611,-70.627777,50.6,0.0,Maine,209,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
10176,M Street Jet,Petroleum Liquids,MA,NEMA/Boston,42.339387,-71.031407,50.0,0.0,SENE,156,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
63667,Sanford Solar,Solar Photovoltaic,ME,ME,43.4569,-70.7803,49.4,0.0,Maine,145,SolarPV,0,1,1,0,2.0,0.0,0.26,1.0,0.03,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
64387,Quinebaug Solar,Solar Photovoltaic,CT,CT,41.749867,-71.932481,49.4,0.0,ROP,97,SolarPV,0,1,1,0,2.0,0.0,0.26,1.0,0.03,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
58141,Groton Wind LLC,Onshore Wind Turbine,NH,NH,43.7681,-71.8189,48.0,0.0,NNE,131,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
3745,Bellows Falls,Conventional Hydroelectric,VT,VT,43.1375,-72.4464,47.1,0.0,NNE,43,Hydro,0,1,0,0,7.5,0.0,0.7,0.65,0.04,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
50650,ReEnergy Stratton LLC,Wood/Wood Waste Biomass,ME,ME,45.140614,-70.425577,46.1,0.0,Maine,141,Bio,1,1,0,0,39.0,0.1,0.9,0.9,0.08,0.06,0.4,0.4,1,6,6,6.0,0.03,0.03,0.045
10613,"Woodland Pulp, LLC",Wood/Wood Waste Biomass,ME,ME,45.1554,-67.4012,46.0,0.0,Maine,185,Bio,1,1,0,0,39.0,0.1,0.9,0.9,0.08,0.06,0.4,0.4,1,6,6,6.0,0.03,0.03,0.045
1678,Waters River,Natural Gas Fired Combustion Turbine,MA,NEMA/Boston,42.542949,-70.928314,46.0,0.0,SENE,231,NGCT,1,0,0,0,58.0,0.59,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.06,0.06,0.09
10823,Deer Island Treatment Plant,Petroleum Liquids,MA,NEMA/Boston,42.353333,-70.962778,44.0,0.0,SENE,156,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
2367,Schiller,Wood/Wood Waste Biomass,NH,NH,43.0978,-70.7842,43.1,0.0,NNE,128,Bio,1,1,0,0,39.0,0.1,0.9,0.9,0.08,0.06,0.4,0.4,1,6,6,6.0,0.03,0.03,0.045
50661,Covanta Haverhill,Municipal Solid Waste,MA,NEMA/Boston,42.765,-71.1242,42.8,0.0,SENE,234,MSW,1,1,0,0,32.0,0.08,0.9,0.92,0.08,0.06,0.35,0.35,1,6,6,5.0,0.03,0.03,0.045
56448,Mars Hill Wind Farm Project,Onshore Wind Turbine,ME,ME,46.54422,-67.8111,42.0,0.0,Maine,189,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
552,Shepaug,Conventional Hydroelectric,CT,CT,41.44842,-73.295321,41.5,0.0,ROP,112,Hydro,0,1,0,0,7.5,0.0,0.7,0.65,0.04,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
3746,Harriman,Conventional Hydroelectric,VT,VT,42.7936,-72.9144,40.8,0.0,NNE,43,Hydro,0,1,0,0,7.5,0.0,0.7,0.65,0.04,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
66855,Robin Hollow Solar,Solar Photovoltaic,RI,RI,41.640197,-71.629497,40.6,0.0,SENE,158,SolarPV,0,1,1,0,2.0,0.0,0.26,1.0,0.03,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
10493,Rumford Falls Hydro Facility,Conventional Hydroelectric,ME,ME,44.5486,-70.6283,40.2,0.0,Maine,8,Hydro,0,1,0,0,7.5,0.0,0.7,0.65,0.04,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
57080,Sheffield Wind,Onshore Wind Turbine,VT,VT,44.67598,-72.1013,40.0,0.0,NNE,18,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
