Interface,Bus_id,State,LoadZone,Latitude,Longitude,Demand_MW,DistanceMiles,Weight,IsAnchor,CentroidLatitude,CentroidLongitude
HQHIGATE,181,VT,VT,44.29968177238961,-72.60684992060091,190.11801242236027,12.83489685973854,0.03807302379400962,True,44.483667697984295,-72.6425039057059
HQHIGATE,30,VT,VT,44.1298979274049,-72.85234803745576,18.59448275862069,26.82436861869518,0.006850068975376049,False,44.483667697984295,-72.6425039057059
HQHIGATE,139,VT,VT,44.14061355801238,-72.38384997701124,50.044619422572175,27.353812107437808,0.011074275558123932,False,44.483667697984295,-72.6425039057059
HQHIGATE,2,VT,VT,43.93512767255456,-72.51331010396359,59.412171507607184,38.463641822661494,0.009344368065793914,False,44.483667697984295,-72.6425039057059
HQHIGATE,40,VT,VT,43.90128468021073,-72.99838727343358,106.21614227086184,44.390950300868205,0.011220816369576956,False,44.483667697984295,-72.6425039057059
HQHIGATE,1,VT,VT,43.68526570040064,-72.50317325513663,47.873333333333335,55.58246500774225,0.006364195413831506,False,44.483667697984295,-72.6425039057059
HQHIGATE,39,VT,VT,43.671667059029375,-72.8030458011994,71.22916666666667,56.67045127930943,0.007650881109263565,False,44.483667697984295,-72.6425039057059
HQHIGATE,132,NH,NH,44.154594418308825,-71.58040250440126,69.74163568773234,60.69830153883323,0.007190576071965201,False,44.483667697984295,-72.6425039057059
HQHIGATE,238,NH,NH,44.28430906853671,-71.44045594420166,135.69584438549956,65.17667413285795,0.009508546885912543,False,44.483667697984295,-72.6425039057059
HQHIGATE,43,VT,VT,43.417432135246735,-72.84485506420849,139.16666666666666,74.3478280660722,0.008724015388528709,False,44.483667697984295,-72.6425039057059
HQHIGATE,134,NH,NH,44.24534252434736,-71.25348817518127,23.8840108401084,75.43212146640681,0.0035750853394746055,False,44.483667697984295,-72.6425039057059
HQHIGATE,131,NH,NH,43.72686674705788,-71.56567035141529,46.11774817361409,77.35686941700367,0.004874834850523366,False,44.483667697984295,-72.6425039057059
HQHIGATE,201,NH,NH,43.87910234997817,-71.40449936124483,119.55330882352942,77.751981197092,0.007818928234405853,False,44.483667697984295,-72.6425039057059
HQHIGATE,76,NH,NH,44.4192502948432,-71.15817103821308,151.08657630083076,78.7951065936745,0.008702389737753342,False,44.483667697984295,-72.6425039057059
HQHIGATE,237,NH,NH,43.65955544900685,-71.38253675845598,15.90185676392573,87.70873026534726,0.002605204535402419,False,44.483667697984295,-72.6425039057059
HQHIGATE,235,NH,NH,43.82770555701849,-71.19473087775206,14.114610673665792,89.08641037174638,0.002425916685768933,False,44.483667697984295,-72.6425039057059
HQHIGATE,142,NH,NH,43.46970528958032,-71.54413354146747,32.863837312113176,91.01486055094351,0.003642712783769428,False,44.483667697984295,-72.6425039057059
HQHIGATE,236,NH,NH,43.89921756250428,-71.09078266990971,25.442970822281165,91.59634756335947,0.0031898871384828218,False,44.483667697984295,-72.6425039057059
HQHIGATE,125,NH,NH,43.60543641728416,-71.30188680393692,22.190520446096656,93.38415092661366,0.0029361543901375927,False,44.483667697984295,-72.6425039057059
HQHIGATE,133,NH,NH,43.42143420850593,-71.50437323466252,120.9776119402985,94.92439483719002,0.006772034325488837,False,44.483667697984295,-72.6425039057059
HQHIGATE,124,NH,NH,43.27596121340668,-71.77952234519307,21.69028871391076,95.05864953740745,0.0028644349309599987,False,44.483667697984295,-72.6425039057059
HQHIGATE,129,NH,NH,43.27136291527519,-71.40945947757345,46.09726603575184,106.15064663510732,0.0038441084030564074,False,44.483667697984295,-72.6425039057059
