OSMType,OSMId,Name,SubstationType,VoltageTag,VoltageKV,Circuits,Operator,Ref,Latitude,Longitude,AnchorWeight
way,92676944,Poste Chénier,transmission,735000,735.0,1,Hydro-Québec,,45.587575,-74.059886,6.391304
way,92692708,Poste de Lafontaine,transmission,315000,315.0,1,Hydro-Québec,,45.711444,-74.057484,2.73913
way,95201299,Athenia Switching Station,transmission,230000;138000;13800,230.0,1,Public Service Enterprise Group,ATH,40.861197,-74.158992,2.0
way,95825721,Ramapo Substation,transmission,500000,500.0,1,Con Edison,RAM,41.149942,-74.154934,4.347826
way,95930521,Waldwick Substation,transmission,345000;230000,345.0,1,PSE&G,,41.016895,-74.12572,3.0
way,96456442,Poste de Lévis,transmission,735000;315000;230000,735.0,1,Hydro-Québec,,46.708023,-71.19072,6.391304
way,99324160,Poste de Kingsey,transmission,230000;120000,230.0,1,Hydro-Québec,,45.841261,-72.004764,2.0
way,99327233,Poste de la Chute-Hemmings,generation,120000,120.0,1,Hydro-Québec,,45.863956,-72.451124,1.043478
way,99787196,Poste Nicolet,transmission,735000;230000,735.0,1,Hydro-Québec,,46.080502,-72.254484,6.391304
way,99968103,Poste de Beauceville,transmission,230000;120000,230.0,1,Hydro-Québec,,46.224532,-70.795562,2.0
way,100242013,Poste de la Mauricie,transmission,315000;230000,315.0,1,Hydro-Québec,,46.476949,-72.641547,2.73913
way,100314850,Poste Gentilly 2,transmission,230000,230.0,1,Hydro-Québec,,46.39372,-72.354926,2.0
way,100315622,Poste de Bécancour,transmission,230000;120000,230.0,1,Hydro-Québec,,46.363656,-72.37423,2.0
way,101817259,Amherst Substation,transmission,345000;34500,345.0,1,Eversource,,42.808992,-71.592883,3.0
way,101872214,Poste Saint-Narcisse,transmission,69000,69.0,1,Hydro-Québec,,46.548319,-72.412333,1.0
way,101946689,Poste Leneuf,transmission,315000;69000,315.0,1,Hydro-Québec,,46.722892,-71.791797,2.73913
way,104084354,Poste de Québec,transmission,315000;230000,315.0,1,Hydro-Québec,,46.831011,-71.264229,2.73913
way,104320770,Poste de Montmagny,transmission,230000;120000;69000,230.0,1,Hydro-Québec,,46.963269,-70.526399,2.0
way,104431364,Poste de la Jacques-Cartier,transmission,735000;315000,735.0,1,Hydro-Québec,,46.793583,-71.724853,6.391304
way,110303217,Poste de Duvernay,transmission,735000;315000;120000,735.0,1,Hydro-Québec,,45.663373,-73.670007,6.391304
way,112265824,North Bloomfield Substation,transmission,345000;115000,345.0,1,Eversource,,41.890714,-72.758586,3.0
way,114625761,Poste Sorel,transmission,230000;120000,230.0,1,Hydro-Québec,,46.03244,-73.137484,2.0
way,124919871,Poste de Léry,transmission,315000;120000,315.0,1,Hydro-Québec,,45.285729,-73.895491,2.73913
way,125704539,,generation,230000,230.0,1,Hydro-Québec,,45.312799,-73.917278,2.0
way,128556148,,generation,,,1,,,43.248555,-73.819652,1.0
way,129284212,Poste de Châteauguay,transmission,735000;315000,735.0,1,Hydro-Québec,,45.253923,-73.870505,6.391304
way,134606011,,transmission,34500,34.5,1,,,43.852949,-70.795141,1.0
way,134796643,Pratts Junction Substation,transmission,230000;115000;69000,230.0,1,National Grid,225,42.471374,-71.738162,2.0
way,134796664,Wachusett Substation,transmission,345000;115000;69000,345.0,1,National Grid,47,42.360136,-71.775768,3.0
way,134832527,Millbury Substation No. 3,transmission,345000,345.0,1,National Grid,3,42.188107,-71.737741,3.0
way,134982891,Ward Hill Substation,transmission,345000;115000,345.0,1,National Grid,,42.744401,-71.113678,3.0
way,135200088,Northfield Substation,transmission,345000;115000,345.0,1,Eversource,,42.611382,-72.468342,3.0
way,135200113,Ludlow Substation,transmission,345000;115000,345.0,1,Eversource,,42.19481,-72.446651,3.0
way,135566530,Berkshire Substation,transmission,345000;115000,345.0,1,Eversource,,42.46847,-73.093466,3.0
way,135584387,Gilboa Substation,transmission,345000,345.0,1,Consolidated Edison,,42.440039,-74.447905,3.0
way,136560648,Framingham Substation,transmission,230000;115000,230.0,1,Eversource,240,42.268488,-71.398557,2.0
way,136924986,Stoughton Substation,transmission,345000,345.0,1,Eversource,,42.14157,-71.101065,3.0
way,136962266,Medway Substation No. 65,transmission,,,1,Eversource,65,42.1365,-71.447519,1.0
way,136962270,West Walpole Substation,transmission,345000;115000,345.0,1,Eversource,,42.131694,-71.268179,3.0
way,136997706,Medway Substation No. 446,transmission,345000;230000,345.0,1,Eversource,446,42.139139,-71.448077,3.0
way,137725010,Luther Forest Station,transmission,115000,115.0,1,National Grid,,42.963674,-73.748056,1.0
way,137840368,Bridgewater Substation,transmission,345000;115000,345.0,1,National Grid,,41.972012,-71.017333,3.0
way,138286433,Mulberry Substation,transmission,115000;34500,115.0,1,NYSEG,,42.923983,-73.683127,1.0
way,138895633,Granite Substation,transmission,230000;115000,230.0,1,Vermont Electric Power Company,,44.118812,-72.498923,2.0
way,138912070,Vernon VT Substation,transmission,345000;115000,345.0,1,Vermont Electric Power Company,,42.782869,-72.518595,3.0
way,138917420,West Rutland Substation,transmission,345000;115000,345.0,1,Vermont Electric Power Company,,43.633701,-73.057801,3.0
way,138927367,Newfane Substation,transmission,345000;46000,345.0,1,Vermont Electric Power Company,,42.968042,-72.652359,3.0
way,139232219,Barbour Hill Substation,transmission,345000;115000,345.0,1,Eversource,,41.854379,-72.528541,3.0
way,139232239,Manchester Substation,transmission,345000;115000,345.0,1,Eversource,,41.77063,-72.557503,3.0
way,139249550,Agawam Substation,transmission,345000;115000,345.0,1,Eversource,,42.090595,-72.634754,3.0
way,139277466,Bear Swamp Substation,transmission,230000;115000;13800,230.0,1,National Grid,1019,42.683833,-72.949714,2.0
way,139286064,Hoosick Substation,transmission,115000,115.0,1,National Grid,,42.912156,-73.35748,1.0
way,139553666,Card Substation,transmission,345000;115000;69000,345.0,1,Eversource,11F,41.702067,-72.23385,3.0
way,139587105,Rotterdam Substation,transmission,345000;230000;115000;69000,345.0,1,National Grid,,42.828971,-73.997548,3.0
way,139630804,Alps Substation,transmission,345000,345.0,1,National Grid,,42.596212,-73.497121,3.0
way,139635979,Doreen Substation,transmission,115000;23000,115.0,1,Eversource,1816,42.442793,-73.205399,1.0
way,139730003,Kleen Substation,transmission,345000,345.0,1,Eversource,,41.554203,-72.596774,3.0
way,139744675,Killingly Substation,transmission,345000;115000,345.0,1,Eversource,,41.881719,-71.891156,3.0
way,139830164,Carpenter Hill Substation,transmission,345000;115000,345.0,1,National Grid,,42.128702,-71.997103,3.0
way,139886600,Beseck Substation,transmission,345000,345.0,1,Eversource,,41.489263,-72.75492,3.0
way,139886605,Southington Substation,transmission,345000;115000,345.0,1,Eversource,4C,41.588212,-72.866809,3.0
