Pmax (MW),Pmin (MW),Zone,Type,Flag_thermal,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW),Flag_RET
1.9,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.5,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
20,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.5,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
6,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
16,0.0,PEPCO,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
1.5,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.9,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
109.477157984023,0.0,APS_MD,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
229.494740155392,0.0,DPL_MD,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
103.885898588231,0.0,BGE,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
41.1423717555663,0.0,BGE,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
41.1433136698354,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.28,0.035,0.16,1,1,1,6,6,92,0
