Pmax (MW),Pmin (MW),Type,Flag_thermal,Flag_VRE,Cost ($/MWh),EF,CC,Zone,FOR,RU,RD,RM_SPIN
1.1,0,Landfill_NG,1,0,15,0.39,0.43,CE_IL,0.05,1,1,0.1
1.4,0,Oil,1,0,40,0.82,0.98,AEP_OH,0.07,1,1,0
1.4,0,Oil,1,0,40,0.82,0.98,AEP_OH,0.07,1,1,0
2,0,Oil,1,0,40,0.82,0.98,AEP_OH,0.07,1,1,0
1.3,0,Oil,1,0,40,0.82,0.98,AEP_OH,0.07,1,1,0
2,0,Oil,1,0,40,0.82,0.98,AEP_OH,0.07,1,1,0
1,0,Landfill_NG,1,0,15,0.39,0.43,DPL_DE,0.05,1,1,0.1
1,0,Landfill_NG,1,0,15,0.39,0.43,DPL_DE,0.05,1,1,0.1
1,0,Landfill_NG,1,0,15,0.39,0.43,DPL_DE,0.05,1,1,0.1
1,0,Landfill_NG,1,0,15,0.39,0.43,DPL_DE,0.05,1,1,0.1
1,0,Landfill_NG,1,0,15,0.39,0.43,DPL_DE,0.05,1,1,0.1
1,0,Landfill_NG,1,0,15,0.39,0.43,DPL_DE,0.05,1,1,0.1
1,0,Landfill_NG,1,0,15,0.39,0.43,DPL_DE,0.05,1,1,0.1
1,0,Landfill_NG,1,0,15,0.39,0.43,DPL_DE,0.05,1,1,0.1
1,0,Landfill_NG,1,0,15,0.39,0.43,DPL_DE,0.05,1,1,0.1
1,0,Landfill_NG,1,0,15,0.39,0.43,DPL_DE,0.05,1,1,0.1
80,0,WindOn,0,1,0,0,0.28,CE_IL,0,1,1,0
80,0,WindOn,0,1,0,0,0.28,PN_PA,0,1,1,0
5.9,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
5.9,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
5.9,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
5.9,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
5.9,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,AEP_IN,0.05,1,1,0.1
26,0,WindOn,0,1,0,0,0.28,PL_PA,0,1,1,0
164,0,WindOn,0,1,0,0,0.28,DOM_WV,0,1,1,0
100,0,WindOn,0,1,0,0,0.28,DOM_WV,0,1,1,0
123,0,WindOn,0,1,0,0,0.28,CE_IA,0,1,1,0
75,0,WindOn,0,1,0,0,0.28,CE_IA,0,1,1,0
58.5,0,WindOn,0,1,0,0,0.28,CE_IA,0,1,1,0
29.9,0,WindOn,0,1,0,0,0.28,CE_IA,0,1,1,0
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ME_PA,0.05,1,1,0.1
0.9,0,Landfill_NG,1,0,15,0.39,0.43,AE_NJ,0.05,1,1,0.1
0.9,0,Landfill_NG,1,0,15,0.39,0.43,AE_NJ,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,PL_PA,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,PL_PA,0.05,1,1,0.1
1.6,0,NGCT,1,0,26.3,0.59,0.98,PL_PA,0.068,1,1,0.16
2,0,Oil,1,0,40,0.82,0.98,CE_IA,0.07,1,1,0
2,0,Oil,1,0,40,0.82,0.98,CE_IA,0.07,1,1,0
0.8,0,Landfill_NG,1,0,15,0.39,0.43,CE_IL,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,CE_IL,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,CE_IL,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,CE_IL,0.05,1,1,0.1
213.8,0,WindOn,0,1,0,0,0.28,CE_IL,0,1,1,0
72,0,WindOn,0,1,0,0,0.28,CE_IL,0,1,1,0
70,0,WindOn,0,1,0,0,0.28,ME_PA,0,1,1,0
28,0,NGCT,1,0,26.3,0.59,0.98,BC_MD,0.068,1,1,0.16
807.5,0,Coal,1,0,23.57,1.01,0.95,AP_WV,0.07,0.36,0.36,0.06
130.5,0,WindOn,0,1,0,0,0.28,CE_IN,0,1,1,0
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DPL_MD,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
