Pmax (MW),Pmin (MW),Type,Flag_thermal,Flag_VRE,Cost ($/MWh),EF,CC,Zone,FOR,RU,RD,RM_SPIN
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
0.3,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
29.4,0,WindOn,0,1,0,0,0.28,AP_PA,0,1,1,0
37.8,0,WindOn,0,1,0,0,0.28,AP_PA,0,1,1,0
2,0,NGCT,1,0,26.3,0.59,0.98,RECO_NJ,0.068,1,1,0.16
2,0,NGCT,1,0,26.3,0.59,0.98,RECO_NJ,0.068,1,1,0.16
2,0,NGCT,1,0,26.3,0.59,0.98,RECO_NJ,0.068,1,1,0.16
2,0,NGCT,1,0,26.3,0.59,0.98,RECO_NJ,0.068,1,1,0.16
4,0,Oil,1,0,40,0.82,0.98,RECO_NJ,0.07,1,1,0
4,0,Oil,1,0,40,0.82,0.98,RECO_NJ,0.07,1,1,0
102,0,WindOn,0,1,0,0,0.28,PL_PA,0,1,1,0
201.3,0,WindOn,0,1,0,0,0.28,CE_IN,0,1,1,0
100,0,WindOn,0,1,0,0,0.28,CE_IN,0,1,1,0
200,0,WindOn,0,1,0,0,0.28,CE_IN,0,1,1,0
99,0,WindOn,0,1,0,0,0.28,CE_IN,0,1,1,0
6.3,0,NGCT,1,0,26.3,0.59,0.98,AEP_VA,0.068,1,1,0.16
50.4,0,WindOn,0,1,0,0,0.28,ME_PA,0,1,1,0
100.5,0,WindOn,0,1,0,0,0.28,CE_IL,0,1,1,0
145,0,NGCC,1,0,18.75,0.4,0.98,PN_VA,0.035,1,1,0.16
152,0,NGCC,1,0,18.75,0.4,0.98,PN_VA,0.035,1,1,0.16
262,0,NGCC,1,0,18.75,0.4,0.98,PN_VA,0.035,1,1,0.16
668,0,Coal,1,0,23.57,1.01,0.95,AEP_VA,0.07,0.36,0.36,0.06
223.6,0,NGCC,1,0,18.75,0.4,0.98,PEP_MD,0.035,1,1,0.16
223.6,0,NGCC,1,0,18.75,0.4,0.98,PEP_MD,0.035,1,1,0.16
328.1,0,NGCC,1,0,18.75,0.4,0.98,PEP_MD,0.035,1,1,0.16
67,0,NG,1,0,22.525,0.495,0.98,AEP_OH,0.035,1,1,0.16
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ME_PA,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ME_PA,0.05,1,1,0.1
100.5,0,WindOn,0,1,0,0,0.28,CE_IL,0,1,1,0
1.4,0,Landfill_NG,1,0,15,0.39,0.43,AEP_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,AEP_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.4,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ATSI_OH,0.05,1,1,0.1
0.9,0,Landfill_NG,1,0,15,0.39,0.43,PL_PA,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,PL_PA,0.05,1,1,0.1
1.6,0,SolarPV,0,1,0,0,0.35,JC_NJ,0,1,1,0
106,0,WindOn,0,1,0,0,0.28,CE_IN,0,1,1,0
0.2,0,SolarPV,0,1,0,0,0.35,AE_NJ,0,1,1,0
0.2,0,SolarPV,0,1,0,0,0.35,AE_NJ,0,1,1,0
0.1,0,SolarPV,0,1,0,0,0.35,AE_NJ,0,1,1,0
0.2,0,SolarPV,0,1,0,0,0.35,AE_NJ,0,1,1,0
0.1,0,SolarPV,0,1,0,0,0.35,AE_NJ,0,1,1,0
0.2,0,SolarPV,0,1,0,0,0.35,AE_NJ,0,1,1,0
0.2,0,SolarPV,0,1,0,0,0.35,AE_NJ,0,1,1,0
0.2,0,SolarPV,0,1,0,0,0.35,AE_NJ,0,1,1,0
0.1,0,SolarPV,0,1,0,0,0.35,AE_NJ,0,1,1,0
2.4,0,SolarPV,0,1,0,0,0.35,AE_NJ,0,1,1,0
1.6,0,Landfill_NG,1,0,15,0.39,0.43,AE_NJ,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,AE_NJ,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,AE_NJ,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ME_PA,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ME_PA,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ME_PA,0.05,1,1,0.1
1.6,0,Landfill_NG,1,0,15,0.39,0.43,ME_PA,0.05,1,1,0.1
0.5,0,SolarPV,0,1,0,0,0.35,JC_NJ,0,1,1,0
0.5,0,SolarPV,0,1,0,0,0.35,JC_NJ,0,1,1,0
0.5,0,SolarPV,0,1,0,0,0.35,JC_NJ,0,1,1,0
0.5,0,SolarPV,0,1,0,0,0.35,JC_NJ,0,1,1,0
