Zone,Pmax (MW),Pmin (MW),Cost ($/MW/yr),Cost ($/MWh),Type,Flag_thermal,Flag_VRE,Flag_mustrun,EF,CC,AF
EKPC_KY,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
JC_NJ,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
ME_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
OVEC_OH,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
PL_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
PE_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
PN_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
PEP_MD,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
PS_NJ,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
RECO_NJ,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
