Month,Day,Period,EKPC_KY,AP_MD,AP_PA,AP_VA,AP_WV,AEP_VA,AEP_WV,AEP_KY,AEP_TN,AEP_OH,AEP_IN,AEP_MI,DPL_MD,DPL_DE,DOM_NC,DOM_VA,DAY_OH,JC_NJ,RECO_NJ,BC_MD,ME_PA,PS_NJ,CE_IL,AE_NJ,OVEC_OH,PE_PA,PL_PA,DEOK_OH,DUQ_PA,PN_PA,PEP_MD,ATSI_PA,ATSI_OH,NI
1,4,9,0.31784525,0.014225,0.0126215,0.60221825,0.00759125,0.60221825,0.00759125,0.31784525,0.01198725,0.49773675,0.04912975,0.01058775,0.014225,0.0882825,0.35025125,0.60221825,0.49773675,0.26737725,0.26737725,0.014225,0.0126215,0.26737725,0.02611,0.26737725,0.49773675,0.0126215,0.0126215,0.49773675,0.0126215,0.0126215,0.014225,0.0126215,0.49773675,0
1,4,10,0.527134,0.12162275,0.0345655,0.8774975,0.0165135,0.8774975,0.0165135,0.527134,0.02608,0.8138805,0.31178275,0.0105105,0.12162275,0.1650725,0.569309,0.8774975,0.8138805,0.48621325,0.48621325,0.12162275,0.0345655,0.48621325,0.08130125,0.48621325,0.8138805,0.0345655,0.0345655,0.8138805,0.0345655,0.0345655,0.12162275,0.0345655,0.8138805,0
1,4,11,0.6657695,0.2848855,0.0946225,0.96629625,0.08009175,0.96629625,0.08009175,0.6657695,0.08397525,0.132681,0.45888275,0.0837835,0.2848855,0.32633025,0.5573315,0.96629625,0.132681,0.62682925,0.62682925,0.2848855,0.0946225,0.62682925,0.03985825,0.62682925,0.132681,0.0946225,0.0946225,0.132681,0.0946225,0.0946225,0.2848855,0.0946225,0.132681,0
1,4,12,0.73630925,0.12761075,0.124624,0.99695825,0.14146375,0.99695825,0.14146375,0.73630925,0.41990725,0.28667,0.4740785,0.3244965,0.12761075,0.26892975,0.5133145,0.99695825,0.28667,0.69332375,0.69332375,0.12761075,0.124624,0.69332375,0.148749,0.69332375,0.28667,0.124624,0.124624,0.28667,0.124624,0.124624,0.12761075,0.124624,0.28667,0
1,4,13,0.73851275,0.07050325,0.50479825,0.99472925,0.096453,0.99472925,0.096453,0.73851275,0.45034825,0.37005975,0.03837075,0.080655,0.07050325,0.2799925,0.49981275,0.99472925,0.37005975,0.6973985,0.6973985,0.07050325,0.50479825,0.6973985,0.27054325,0.6973985,0.37005975,0.50479825,0.50479825,0.37005975,0.50479825,0.50479825,0.07050325,0.50479825,0.37005975,0
1,4,14,0.675486,0.0796845,0.552069,0.82838175,0.43518675,0.82838175,0.43518675,0.675486,0.61720025,0.94650825,0.21494725,0.1581025,0.0796845,0.19750875,0.5328645,0.82838175,0.94650825,0.63911875,0.63911875,0.0796845,0.552069,0.63911875,0.11556575,0.63911875,0.94650825,0.552069,0.552069,0.94650825,0.552069,0.552069,0.0796845,0.552069,0.94650825,0
1,4,15,0.54444625,0.08834875,0.59739775,0.9442205,0.40079125,0.9442205,0.40079125,0.54444625,0.21075375,0.3757335,0.364162,0.1571835,0.08834875,0.06369975,0.57024675,0.9442205,0.3757335,0.51690125,0.51690125,0.08834875,0.59739775,0.51690125,0.128507,0.51690125,0.3757335,0.59739775,0.59739775,0.3757335,0.59739775,0.59739775,0.08834875,0.59739775,0.3757335,0
1,4,16,0.3419985,0.089787,0.5423205,0.59679075,0.067369,0.59679075,0.067369,0.3419985,0.0914625,0.42174725,0.340322,0.02653,0.089787,0.01811325,0.503264,0.59679075,0.42174725,0.3146415,0.3146415,0.089787,0.5423205,0.3146415,0.7181685,0.3146415,0.42174725,0.5423205,0.5423205,0.42174725,0.5423205,0.5423205,0.089787,0.5423205,0.42174725,0
1,4,17,0.058955,0.008427,0.17321575,0.03421275,0.5143955,0.03421275,0.5143955,0.058955,0.5227645,0.049438,0.17317275,0.063826,0.008427,0.0065345,0.1436065,0.03421275,0.049438,0.04209425,0.04209425,0.008427,0.17321575,0.04209425,0.21532775,0.04209425,0.049438,0.17321575,0.17321575,0.049438,0.17321575,0.17321575,0.008427,0.17321575,0.049438,0
1,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
