Pmax (MW),Pmin (MW),Type,Zone,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,Flag_RPS
2.9,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
2.9,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
2.9,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
2.9,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
18.6,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
162.0,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
10.0,0,Hydro,AP_MD,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
10.0,0,Hydro,AP_MD,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
659.0,0,NGCT,PEP_MD,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
659.0,0,NGCT,PEP_MD,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
35.0,0,Oil,PEP_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
103.0,0,NGCT,PEP_MD,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
103.0,0,NGCT,PEP_MD,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
125.0,0,NGCT,PEP_MD,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
125.0,0,NGCT,PEP_MD,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
19.0,0,Oil,BC_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
163.0,0,NGCT,BC_MD,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
163.0,0,NGCT,BC_MD,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
65.0,0,Oil,PEP_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
65.0,0,Oil,PEP_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
65.0,0,Oil,PEP_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
65.0,0,Oil,PEP_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
18.0,0,Oil,PEP_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
18.0,0,Oil,PEP_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
626.0,0,Coal,PEP_MD,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
626.0,0,Coal,PEP_MD,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
