Month,Day,Period,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD,NI
1,6,16,0.405927961,0.400509571,0.345434958,0.54306162,0.345434958,0.54306162,-3260.5
1,6,17,0.436212326,0.444775884,0.405379528,0.575216413,0.405379528,0.575216413,-3259.4
1,6,18,0.477682656,0.505827951,0.473980552,0.631266194,0.473980552,0.631266194,-3797.8
1,6,19,0.450950123,0.504095161,0.479501027,0.646082302,0.479501027,0.646082302,-3794.7
1,6,20,0.443425159,0.491222315,0.473688114,0.632224636,0.473688114,0.632224636,-3652.5
1,6,21,0.403119093,0.469227348,0.454725672,0.612383862,0.454725672,0.612383862,-3404
1,6,22,0.374034663,0.434903064,0.424442496,0.574981484,0.424442496,0.574981484,-3348.59
1,6,23,0.332914596,0.385802426,0.378717033,0.528665029,0.378717033,0.528665029,-3306.9
1,6,24,0.287289085,0.339902755,0.341191088,0.484991974,0.341191088,0.484991974,-3314.3
1,7,1,0.26549775,0.310976398,0.318015005,0.462270222,0.318015005,0.462270222,-3280.7
1,7,2,0.262085531,0.30131836,0.313790819,0.446372378,0.313790819,0.446372378,-3170.3
1,7,3,0.269457966,0.314351774,0.324430018,0.446336167,0.324430018,0.446336167,-3049.4
1,7,4,0.27857864,0.336560369,0.343399138,0.455349514,0.343399138,0.455349514,-2927.2
1,7,5,0.313335238,0.363509395,0.384152448,0.48111705,0.384152448,0.48111705,-2891.29
1,7,6,0.371580977,0.410052028,0.440315707,0.52425118,0.440315707,0.52425118,-2532.1
1,7,7,0.452389307,0.473492996,0.497267003,0.587987397,0.497267003,0.587987397,-2673.6
1,7,8,0.508754881,0.522769889,0.5398122,0.636038798,0.5398122,0.636038798,-2856.1
1,7,9,0.53636138,0.538112844,0.555143065,0.660909185,0.555143065,0.660909185,-2883.1
1,7,10,0.533391372,0.526305141,0.546288723,0.668642607,0.546288723,0.668642607,-3084.3
1,7,11,0.525379608,0.519690502,0.524836338,0.662345964,0.524836338,0.662345964,-3898.6
1,7,12,0.511424445,0.508908954,0.508953637,0.659125133,0.508953637,0.659125133,-4069
1,7,13,0.507735152,0.500829598,0.494817481,0.646164616,0.494817481,0.646164616,-4193.1
1,7,14,0.495794846,0.489788512,0.484586711,0.633034879,0.484586711,0.633034879,-4201.9
1,7,15,0.485854944,0.490860346,0.474248035,0.629765295,0.474248035,0.629765295,-4405.69
1,7,16,0.49105538,0.512463123,0.495284609,0.645096834,0.495284609,0.645096834,-4307.39
1,7,17,0.541015664,0.566292886,0.565289828,0.680108053,0.565289828,0.680108053,-4595.7
1,7,18,0.59942408,0.648413197,0.64758097,0.736445579,0.64758097,0.736445579,-4452.9
1,7,19,0.592010131,0.656061374,0.660120314,0.746503215,0.660120314,0.746503215,-4708.89
1,7,20,0.575716909,0.643569414,0.654005824,0.730412658,0.654005824,0.730412658,-4653.99
1,7,21,0.544092073,0.622858986,0.644298069,0.707021268,0.644298069,0.707021268,-4831.79
1,7,22,0.517758084,0.586756926,0.622242179,0.675864483,0.622242179,0.675864483,-4831.2
1,7,23,0.48173851,0.537070309,0.581927527,0.634490912,0.581927527,0.634490912,-4765.7
1,7,24,0.438404929,0.500300372,0.548065848,0.595181718,0.548065848,0.595181718,-4650.6
1,8,1,0.4142291,0.472497063,0.522720027,0.565817641,0.522720027,0.565817641,-4380.4
1,8,2,0.39574389,0.463333416,0.51363757,0.549527836,0.51363757,0.549527836,-4061.79
1,8,3,0.392728062,0.462162151,0.509940265,0.554694343,0.509940265,0.554694343,-4130.4
1,8,4,0.393455035,0.464628799,0.514800645,0.564359134,0.514800645,0.564359134,-4157.19
1,8,5,0.405735763,0.479546111,0.528380395,0.586208821,0.528380395,0.586208821,-4295.19
1,8,6,0.425521466,0.508799371,0.551775807,0.615100213,0.551775807,0.615100213,-4340
1,8,7,0.459640579,0.54922337,0.585665253,0.655170544,0.585665253,0.655170544,-4438.7
1,8,8,0.493611776,0.585717852,0.614520333,0.700115221,0.614520333,0.700115221,-4740.8
1,8,9,0.505128015,0.59246722,0.601542682,0.716557819,0.601542682,0.716557819,-4705.3
1,8,10,0.50155927,0.551222158,0.553582808,0.683882471,0.553582808,0.683882471,-4420.69
1,8,11,0.466172875,0.514935538,0.509897734,0.635272009,0.509897734,0.635272009,-4333.3
1,8,12,0.452440355,0.482149795,0.470507145,0.59398605,0.470507145,0.59398605,-4650.69
1,8,13,0.43185572,0.446460227,0.432013553,0.548676084,0.432013553,0.548676084,-4542.09
1,8,14,0.396380145,0.417710124,0.399351856,0.506332765,0.399351856,0.506332765,-4455.3
1,8,15,0.378995234,0.401400535,0.387940437,0.48415559,0.387940437,0.48415559,-4454.99
1,8,16,0.378041621,0.409601701,0.402976403,0.485873402,0.402976403,0.485873402,-4658.2
1,8,17,0.410871312,0.454240133,0.460915029,0.516265517,0.460915029,0.516265517,-4637.8
1,8,18,0.471714655,0.537664824,0.55381479,0.589970874,0.55381479,0.589970874,-4804.8
1,8,19,0.502498122,0.559626801,0.579841092,0.613926979,0.579841092,0.613926979,-4909.8
1,8,20,0.495240084,0.555182821,0.581010142,0.612939391,0.581010142,0.612939391,-4862.5
1,8,21,0.489766572,0.540084178,0.572737162,0.592838428,0.572737162,0.592838428,-4855.1
1,8,22,0.468309202,0.516434398,0.550257377,0.562173583,0.550257377,0.562173583,-4837.4
1,8,23,0.423527212,0.479558569,0.51945435,0.520369189,0.51945435,0.520369189,-5043.9
1,8,24,0.3924719,0.437186767,0.484840837,0.475255645,0.484840837,0.475255645,-5181.6
1,9,1,0.35506419,0.405583132,0.460214513,0.444605461,0.460214513,0.444605461,-5063.2
1,9,2,0.335399341,0.383701439,0.445099111,0.412273675,0.445099111,0.412273675,-4769.6
1,9,3,0.32225418,0.372846528,0.439790583,0.3956449,0.439790583,0.3956449,-4640.7
1,9,4,0.309717905,0.36216718,0.437187812,0.392221464,0.437187812,0.392221464,-4621.4
1,9,5,0.317447368,0.364365754,0.439158256,0.384188286,0.439158256,0.384188286,-4609.49
1,9,6,0.314851301,0.376035037,0.442461894,0.390839442,0.442461894,0.390839442,-4628.49
1,9,7,0.337381909,0.397001773,0.451345058,0.408421007,0.451345058,0.408421007,-4729.8
1,9,8,0.353013968,0.410048567,0.459655998,0.432707249,0.459655998,0.432707249,-4764.49
1,9,9,0.361544822,0.426171519,0.460809231,0.457773175,0.460809231,0.457773175,-4624.1
1,9,10,0.386140721,0.449078675,0.443591929,0.477198671,0.443591929,0.477198671,-4780.9
1,9,11,0.383107672,0.454213141,0.441765947,0.496796391,0.441765947,0.496796391,-4639.29
1,9,12,0.403117863,0.457858437,0.436013139,0.509186365,0.436013139,0.509186365,-4784.79
1,9,13,0.404820282,0.4646228,0.430376321,0.511337648,0.430376321,0.511337648,-4810.8
1,9,14,0.408337979,0.455075499,0.412721064,0.496166674,0.412721064,0.496166674,-4737.5
1,9,15,0.407651599,0.448081358,0.402092058,0.479794025,0.402092058,0.479794025,-4697.79
1,9,16,0.404123446,0.438257677,0.397781054,0.478860489,0.397781054,0.478860489,-4660.69
1,9,17,0.413024553,0.455661708,0.42162356,0.494208456,0.42162356,0.494208456,-4413.4
1,9,18,0.442196625,0.494539554,0.457387493,0.532607784,0.457387493,0.532607784,-4301.69
1,9,19,0.427448681,0.479305491,0.440001828,0.524230513,0.440001828,0.524230513,-3861.7
1,9,20,0.414282301,0.452550253,0.415923474,0.515689675,0.415923474,0.515689675,-3805
1,9,21,0.389734683,0.421058739,0.383453337,0.504161345,0.383453337,0.504161345,-3778.99
1,9,22,0.34066005,0.378219307,0.339410097,0.470290329,0.339410097,0.470290329,-3717
1,9,23,0.302414046,0.321975957,0.290715261,0.439058296,0.290715261,0.439058296,-3684.7
1,9,24,0.26220208,0.278724034,0.252759447,0.401510544,0.252759447,0.401510544,-3485.2
1,10,1,0.243999787,0.256592492,0.234837059,0.401460909,0.234837059,0.401460909,-3360.19
1,10,2,0.228752434,0.252708422,0.229385475,0.410403777,0.229385475,0.410403777,-3304.4
1,10,3,0.232957434,0.25989289,0.242132901,0.427355624,0.242132901,0.427355624,-3415.4
1,10,4,0.253122614,0.277741942,0.265349406,0.439204377,0.265349406,0.439204377,-3569.5
1,10,5,0.297820036,0.32047133,0.307248216,0.470690592,0.307248216,0.470690592,-3807.3
1,10,6,0.371831297,0.389182878,0.370427181,0.543126976,0.370427181,0.543126976,-3706.4
1,10,7,0.480316547,0.484036923,0.470295549,0.636343323,0.470295549,0.636343323,-3784.89
1,10,8,0.548651027,0.541008594,0.518828349,0.694397424,0.518828349,0.694397424,-3868.2
1,10,9,0.571134584,0.537520175,0.505018023,0.700291507,0.505018023,0.700291507,-3903.4
1,10,10,0.541950211,0.504176137,0.466000714,0.674129891,0.466000714,0.674129891,-3324.89
1,10,11,0.516311827,0.475698261,0.43066419,0.656264468,0.43066419,0.656264468,-3324.4
1,10,12,0.498966894,0.461106697,0.415424009,0.632088801,0.415424009,0.632088801,-3373.7
1,10,13,0.487857809,0.456161175,0.420179294,0.629502103,0.420179294,0.629502103,-3760.7
1,10,14,0.46339322,0.43510262,0.427782689,0.627204739,0.427782689,0.627204739,-3925.1
1,10,15,0.439643611,0.425561778,0.43443812,0.627177713,0.43443812,0.627177713,-3930.4
1,10,16,0.449354412,0.452447823,0.445684339,0.647032972,0.445684339,0.647032972,-3915.1
1,10,17,0.496553493,0.510003857,0.512576075,0.681282701,0.512576075,0.681282701,-4269.9
1,10,18,0.55802079,0.583676615,0.583416783,0.746172017,0.583416783,0.746172017,-4483.2
1,10,19,0.569663111,0.592222908,0.606047356,0.752558922,0.606047356,0.752558922,-4431.5
1,10,20,0.556747973,0.592453839,0.597434838,0.744262728,0.597434838,0.744262728,-4451.29
1,10,21,0.53627466,0.579927505,0.59541835,0.738056525,0.59541835,0.738056525,-4533.49
1,10,22,0.501884009,0.55325209,0.572264059,0.697470762,0.572264059,0.697470762,-4347.29
1,10,23,0.464099589,0.504765115,0.533754299,0.659127606,0.533754299,0.659127606,-3987.4
1,10,24,0.420841043,0.459320385,0.502512966,0.613824705,0.502512966,0.613824705,-3832.2
1,11,1,0.379431295,0.435504961,0.489183475,0.598566117,0.489183475,0.598566117,-4102.3
1,11,2,0.373158852,0.424554079,0.482714685,0.579324502,0.482714685,0.579324502,-4024.9
1,11,3,0.367948268,0.427324098,0.484651385,0.590635566,0.484651385,0.590635566,-3882.7
1,11,4,0.382968058,0.441813231,0.496756642,0.59362765,0.496756642,0.59362765,-3949.2
