Zone,Type,Pmax (MW),Pmin (MW),Cost ($/MWh),EF,CC
AEP_VA,SolarPV,106.7,0,0.0,0.0,0.35000000000000003
AEP_VA,Landfill_NG,1.1,0,15.0,0.39,0.43
AEP_VA,Bio,7.5,0,20.0,0.99,0.43
AP_VA,NGCT,285.0,0,26.3,0.59,0.9800000000000001
AP_VA,Oil,450.8,0,40.0,0.8200000000000001,0.9800000000000002
AP_VA,Hydro,78.8,0,50.0,0.0,0.5
AP_VA,SolarPV,109.99999999999999,0,0.0,0.0,0.35000000000000003
AP_VA,Landfill_NG,5.399999999999999,0,15.0,0.3899999999999999,0.42999999999999994
PN_VA,Hydro,12.5,0,50.0,0.0,0.5
PN_VA,SolarPV,119.8,0,0.0,0.0,0.3499999999999999
PN_VA,NGCC,559.0,0,18.75,0.4000000000000001,0.98
PN_VA,Bio,71.1,0,20.0,0.99,0.43
DPL_VA,Oil,12.0,0,40.0,0.82,0.9800000000000001
DPL_VA,SolarPV,20.0,0,0.0,0.0,0.35
DOM_VA,NGCT,3991.7999999999997,0,26.299999999999986,0.59,0.9800000000000003
DOM_VA,NuC,3654.3999999999996,0,35.0,0.0,0.99
DOM_VA,Oil,1197.0999999999935,0,40.0,0.8199999999999975,0.9800000000000012
DOM_VA,Coal,1900.9,0,23.57,1.01,0.95
DOM_VA,Hydro,304.8,0,50.0,0.0,0.5
DOM_VA,SolarPV,1707.6000000000004,0,0.0,0.0,0.3499999999999998
DOM_VA,NGCC,8956.099999999999,0,18.75,0.40000000000000024,0.9799999999999998
DOM_VA,Landfill_NG,104.89999999999958,0,15.0,0.3900000000000005,0.43000000000000266
DOM_VA,Bio,258.09999999999997,0,20.0,0.9900000000000001,0.43000000000000005
DOM_VA,Other,96.0,0,20.1096,0.30925,0.7515
AEP_WV,NGCT,987.8999999999999,0,26.300000000000008,0.59,0.9800000000000003
AEP_WV,Coal,5865.2,0,23.569999999999997,1.01,0.9500000000000001
AEP_WV,Hydro,174.70000000000005,0,50.0,0.0,0.5
AEP_WV,WindOn,254.3,0,0.0,0.0,0.28
AP_WV,NGCT,344.0,0,26.3,0.59,0.98
AP_WV,Coal,5544.099999999999,0,23.569999999999997,1.01,0.95
AP_WV,Hydro,166.1,0,50.0,0.0,0.5
AP_WV,WindOn,66.0,0,0.0,0.0,0.28
DOM_WV,Oil,18.5,0,40.0,0.82,0.98
DOM_WV,Coal,1662.4,0,23.570000000000004,1.01,0.9499999999999998
DOM_WV,Hydro,1.0,0,50.0,0.0,0.5
DOM_WV,WindOn,420.7,0,0.0,0.0,0.28
DPL_WV,Hydro,28.8,0,50.0,0.0,0.5
PE_NJ,NGCT,101.7,0,26.3,0.59,0.98
PE_NJ,Coal,260.3,0,23.57,1.01,0.95
PE_NJ,SolarPV,42.2,0,0.0,0.0,0.35000000000000003
PE_NJ,NGCC,1006.4000000000001,0,18.75,0.39999999999999997,0.9800000000000002
PE_NJ,MSW,14.0,0,15.0,1.49,0.43
PE_NJ,NG,30.0,0,22.525,0.495,0.98
PS_VA,Landfill_NG,3.2,0,15.0,0.39,0.43
PS_VA,MSW,124.0,0,15.0,1.49,0.43
ME_VA,NGCT,11.4,0,26.3,0.59,0.9800000000000001
ME_VA,Oil,44.5,0,40.0,0.8200000000000001,0.9800000000000002
ME_VA,SolarPV,2.1,0,0.0,0.0,0.35
ME_VA,Bio,1.4,0,20.0,0.99,0.43
CE_PA,NGCC,5.9,0,18.75,0.4,0.98
CE_PA,Landfill_NG,4.8,0,15.0,0.39000000000000007,0.43
CE_OH,NGCT,577.2,0,26.300000000000004,0.59,0.9800000000000002
CE_ND,WindOn,61.5,0,0.0,0.0,0.28
CE_IN,WindOn,1187.2,0,0.0,0.0,0.28
CE_SD,WindOn,25.0,0,0.0,0.0,0.28
ATSI_IN,WindOn,402.0,0,0.0,0.0,0.28
ATSI_IN,SolarPV,200.0,0,0.0,0.0,0.35
DOM_MD,SolarPV,54.4,0,0.0,0.0,0.35000000000000003
