Month,Day,Period,EKPC_KY,AP_MD,AP_PA,AP_VA,AP_WV,AEP_VA,AEP_WV,AEP_KY,AEP_TN,AEP_OH,AEP_IN,AEP_MI,DPL_MD,DPL_DE,DOM_NC,DOM_VA,DAY_OH,JC_NJ,RECO_NJ,BC_MD,ME_PA,PS_NJ,CE_IL,AE_NJ,OVEC_OH,PE_PA,PL_PA,DEOK_OH,DUQ_PA,PN_PA,PEP_MD,ATSI_PA,ATSI_OH
1,3,14,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575,0.01209575
1,3,15,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525,0.06466525
1,3,16,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245,0.0273245
1,3,17,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255,0.0022255
1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,9,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155,0.0332155
