Pmax (MW),Pmin (MW),Zone,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW)
61,0,AEP_IN,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.035,0.016,1,1,1,1,6,92
2,0,AEP_IN,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
2,0,AEP_IN,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
5,0,AEP_IN,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
8.4,0,AEP_IN,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
1.9,0,AEP_IN,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
2.5,0,AEP_IN,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
33,0,AEP_IN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.035,0.06,0.36,0.36,1,24,24,124
60.9,0,AEP_IN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.035,0.06,0.36,0.36,1,24,24,124
0.8,0,CE_IA,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
0.8,0,CE_IA,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
2.5,0,CE_IA,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
2.5,0,CE_IA,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
2.5,0,CE_IA,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
280.5,0,AEP_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
9.4,0,EKPC_KY,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
9.4,0,EKPC_KY,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
9.4,0,EKPC_KY,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
126,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
126,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
464,0,EKPC_KY,Coal,1,1,0,0,23.57,1.01,0.95,1,0.035,0.06,0.36,0.36,1,24,24,124
123,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
176.8,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
176.8,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
126,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
126,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
13,0,EKPC_KY,SolarPV,0,0,1,0,0,0,0.35,1,0.035,0,1,1,0,0,0,
20.7,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
20.7,0,EKPC_KY,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
0.7,0,EKPC_KY,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.7,0,EKPC_KY,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
0.7,0,EKPC_KY,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
1.3,0,EKPC_KY,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
1.3,0,EKPC_KY,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
0.7,0,EKPC_KY,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
0.9,0,EKPC_KY,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
1.1,0,EKPC_KY,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
3.1,0,EKPC_KY,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
3.1,0,EKPC_KY,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
45,0,EKPC_KY,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
45,0,EKPC_KY,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
45,0,EKPC_KY,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
45,0,EKPC_KY,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
45,0,EKPC_KY,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
45,0,EKPC_KY,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
132.8,0,PL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
359,0,PL_MD,Coal,1,1,0,0,23.57,1.01,0.95,1,0.035,0.06,0.36,0.36,1,24,24,124
414.7,0,PL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
16,0,PL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
53.1,0,PE_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
53.1,0,PE_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
53.1,0,PE_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
192,0,PE_MD,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
141,0,PE_MD,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
20.7,0,BC_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
20.7,0,BC_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
20.7,0,BC_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
20.7,0,BC_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
2.9,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
2.9,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
2.9,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
2.9,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
18.6,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
162,0,DPL_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
2000,0,DPL_MD,WindOff,0,0,1,0,0,0,0.28,1,0.035,0,1,1,0,0,0,
10,0,AP_MD,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
10,0,AP_MD,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
19,0,BC_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
163,0,BC_MD,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
163,0,BC_MD,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.035,0.016,1,1,1,1,1,119
65,0,PEP_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
65,0,PEP_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
65,0,PEP_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
65,0,PEP_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
18,0,PEP_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
18,0,PEP_MD,Oil,1,1,0,0,40,0.82,0.98,1,0.035,0,1,1,1,1,1,87
626,0,PEP_MD,Coal,1,1,0,0,23.57,1.01,0.95,1,0.035,0.06,0.36,0.36,1,24,24,124
626,0,PEP_MD,Coal,1,1,0,0,23.57,1.01,0.95,1,0.035,0.06,0.36,0.36,1,24,24,124
45,0,PE_MD,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
55.6,0,PE_MD,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
55.6,0,PE_MD,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
