Month,Day,Period,BGE,APS,PEPCO,DPL,DPL_MD,APS_MD
1,11,24,0.209515802,0,0.209515802,0,0,0
1,12,1,0.130350598,0,0.130350598,0,0,0
1,12,2,0.099078751,0,0.099078751,0,0,0
1,12,3,0.060256804,0,0.060256804,0,0,0
1,12,4,0.059348916,0,0.059348916,0,0,0
1,12,5,0.080392196,0,0.080392196,0,0,0
1,12,6,0.126733494,0,0.126733494,0,0,0
1,12,7,0.36011756,0,0.36011756,0,0,0
1,12,8,0.493273299,0,0.493273299,0,0,0
1,12,9,0.448325082,0,0.448325082,0,0,0
1,12,10,0.298740701,0,0.298740701,0,0,0
1,12,11,0.306424408,0,0.306424408,0,0,0
1,12,12,0.342635501,0,0.342635501,0,0,0
1,12,13,0.318321767,0,0.318321767,0,0,0
1,12,14,0.305927471,0,0.305927471,0,0,0
1,12,15,0.311406731,0,0.311406731,0,0,0
1,12,16,0.291682577,0,0.291682577,0,0,0
1,12,17,0.321043713,0,0.321043713,0,0,0
1,12,18,0.397886237,0,0.397886237,0,0,0
1,12,19,0.48694823,0,0.48694823,0,0,0
1,12,20,0.513279531,0,0.513279531,0,0,0
1,12,21,0.527428262,0,0.527428262,0,0,0
1,12,22,0.507914239,0,0.507914239,0,0,0
1,12,23,0.312316737,0,0.312316737,0,0,0
1,12,24,0.21537645,0,0.21537645,0,0,0
1,13,1,0.14617153,0,0.14617153,0,0,0
1,13,2,0.111111179,0,0.111111179,0,0,0
1,13,3,0.067145361,0,0.067145361,0,0,0
1,13,4,0.065751881,0,0.065751881,0,0,0
1,13,5,0.088216573,0,0.088216573,0,0,0
1,13,6,0.135701678,0,0.135701678,0,0,0
1,13,7,0.405204987,0,0.405204987,0,0,0
1,13,8,0.529643294,0,0.529643294,0,0,0
1,13,9,0.474081079,0,0.474081079,0,0,0
1,13,10,0.305559888,0,0.305559888,0,0,0
1,13,11,0.300204855,0,0.300204855,0,0,0
1,13,12,0.327627648,0,0.327627648,0,0,0
1,13,13,0.298557579,0,0.298557579,0,0,0
1,13,14,0.283985447,0,0.283985447,0,0,0
1,13,15,0.284869599,0,0.284869599,0,0,0
1,13,16,0.261290725,0,0.261290725,0,0,0
1,13,17,0.283232344,0,0.283232344,0,0,0
1,13,18,0.343226937,0,0.343226937,0,0,0
1,13,19,0.423908869,0,0.423908869,0,0,0
1,13,20,0.449453303,0,0.449453303,0,0,0
1,13,21,0.464667026,0,0.464667026,0,0,0
1,13,22,0.451611389,0,0.451611389,0,0,0
1,13,23,0.293501867,0,0.293501867,0,0,0
1,13,24,0.205153093,0,0.205153093,0,0,0
1,14,1,0.186627826,0,0.186627826,0,0,0
1,14,2,0.12260002,0,0.12260002,0,0,0
1,14,3,0.076661638,0,0.076661638,0,0,0
1,14,4,0.072123216,0,0.072123216,0,0,0
1,14,5,0.064706659,0,0.064706659,0,0,0
1,14,6,0.074493472,0,0.074493472,0,0,0
1,14,7,0.210571379,0,0.210571379,0,0,0
1,14,8,0.348045083,0,0.348045083,0,0,0
1,14,9,0.502943953,0,0.502943953,0,0,0
1,14,10,0.544892991,0,0.544892991,0,0,0
1,14,11,0.510448779,0,0.510448779,0,0,0
1,14,12,0.514042187,0,0.514042187,0,0,0
1,14,13,0.497134805,0,0.497134805,0,0,0
1,14,14,0.508154876,0,0.508154876,0,0,0
1,14,15,0.428547809,0,0.428547809,0,0,0
