Time Period,Month,Day,Hours,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD
1,1,10,7,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10,8,0.011792617,0.011792617,0.011792617,0.001359083,0.011792617,0.001359083
1,1,10,9,0.166209069,0.166209069,0.166209069,0.080953225,0.166209069,0.080953225
1,1,10,10,0.456343625,0.456343625,0.456343625,0.241380347,0.456343625,0.241380347
1,1,10,11,0.673282465,0.673282465,0.673282465,0.345055091,0.673282465,0.345055091
1,1,10,12,0.691160229,0.691160229,0.691160229,0.456715039,0.691160229,0.456715039
1,1,10,13,0.59936459,0.59936459,0.59936459,0.53565891,0.59936459,0.53565891
1,1,10,14,0.541326235,0.541326235,0.541326235,0.551728994,0.541326235,0.551728994
1,1,10,15,0.369058342,0.369058342,0.369058342,0.496046161,0.369058342,0.496046161
1,1,10,16,0.245178635,0.245178635,0.245178635,0.424345457,0.245178635,0.424345457
1,1,10,17,0.041944821,0.041944821,0.041944821,0.147203359,0.041944821,0.147203359
1,1,10,18,0.0,0.0,0.0,0.004037694,0.0,0.004037694
1,1,10,19,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10,20,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10,21,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10,22,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10,23,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10,24,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11,3,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11,4,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11,5,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11,6,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11,7,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11,8,0.015752483,0.015752483,0.015752483,0.002908025,0.015752483,0.002908025
1,1,11,9,0.192816849,0.192816849,0.192816849,0.108169684,0.192816849,0.108169684
1,1,11,10,0.470743345,0.470743345,0.470743345,0.431318073,0.470743345,0.431318073
1,1,11,11,0.670345756,0.670345756,0.670345756,0.623494567,0.670345756,0.623494567
1,1,11,12,0.753275187,0.753275187,0.753275187,0.625720678,0.753275187,0.625720678
1,1,11,13,0.782075771,0.782075771,0.782075771,0.611193208,0.782075771,0.611193208
1,1,11,14,0.728178107,0.728178107,0.728178107,0.609971774,0.728178107,0.609971774
1,1,11,15,0.570672731,0.570672731,0.570672731,0.615775168,0.570672731,0.615775168
1,1,11,16,0.281007408,0.281007408,0.281007408,0.552278006,0.281007408,0.552278006
1,1,11,17,0.048247416,0.048247416,0.048247416,0.213551588,0.048247416,0.213551588
1,1,11,18,0.0,0.0,0.0,0.006410946,0.0,0.006410946
1,1,11,19,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11,20,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11,21,0.0,0.0,0.0,0.0,0.0,0.0
1,1,11,22,0.0,0.0,0.0,0.0,0.0,0.0
