Month,Day,Period,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD
1,9,6,0.646871001,0.646871001,0.646871001,0.728883415,0.646871001,0.728883415
1,9,7,0.579175351,0.579175351,0.579175351,0.798872694,0.579175351,0.798872694
1,9,8,0.474230759,0.474230759,0.474230759,0.822711874,0.474230759,0.822711874
1,9,9,0.454457805,0.454457805,0.454457805,0.835391673,0.454457805,0.835391673
1,9,10,0.560953619,0.560953619,0.560953619,0.844030087,0.560953619,0.844030087
1,9,11,0.612107563,0.612107563,0.612107563,0.856817193,0.612107563,0.856817193
1,9,12,0.624090803,0.624090803,0.624090803,0.833679793,0.624090803,0.833679793
1,9,13,0.614228127,0.614228127,0.614228127,0.831197902,0.614228127,0.831197902
1,9,14,0.612591036,0.612591036,0.612591036,0.869424597,0.612591036,0.869424597
1,9,15,0.616640829,0.616640829,0.616640829,0.852608233,0.616640829,0.852608233
1,9,16,0.618337653,0.618337653,0.618337653,0.81499316,0.618337653,0.81499316
1,9,17,0.614394263,0.614394263,0.614394263,0.753888266,0.614394263,0.753888266
1,9,18,0.668973589,0.668973589,0.668973589,0.647750803,0.668973589,0.647750803
1,9,19,0.714819589,0.714819589,0.714819589,0.62439046,0.714819589,0.62439046
1,9,20,0.759605306,0.759605306,0.759605306,0.620249363,0.759605306,0.620249363
1,9,21,0.72978954,0.72978954,0.72978954,0.621174207,0.72978954,0.621174207
1,9,22,0.775257534,0.775257534,0.775257534,0.588113656,0.775257534,0.588113656
1,9,23,0.774300853,0.774300853,0.774300853,0.514991543,0.774300853,0.514991543
1,9,24,0.759325302,0.759325302,0.759325302,0.503798599,0.759325302,0.503798599
1,10,1,0.768693305,0.768693305,0.768693305,0.479073774,0.768693305,0.479073774
1,10,2,0.791468836,0.791468836,0.791468836,0.462026994,0.791468836,0.462026994
1,10,3,0.790969495,0.790969495,0.790969495,0.40997504,0.790969495,0.40997504
1,10,4,0.79541316,0.79541316,0.79541316,0.334187416,0.79541316,0.334187416
1,10,5,0.744749224,0.744749224,0.744749224,0.269629607,0.744749224,0.269629607
1,10,6,0.750522908,0.750522908,0.750522908,0.234436769,0.750522908,0.234436769
1,10,7,0.750799178,0.750799178,0.750799178,0.236241501,0.750799178,0.236241501
1,10,8,0.76558806,0.76558806,0.76558806,0.266708323,0.76558806,0.266708323
1,10,9,0.719236186,0.719236186,0.719236186,0.306792669,0.719236186,0.306792669
1,10,10,0.753835356,0.753835356,0.753835356,0.30706657,0.753835356,0.30706657
1,10,11,0.772334291,0.772334291,0.772334291,0.357679809,0.772334291,0.357679809
1,10,12,0.711811412,0.711811412,0.711811412,0.441924431,0.711811412,0.441924431
