transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry
virtual_relation/18799873:b:1-380-220,virtual_way/146633582:0-380,virtual_relation/18799873:b:1-220,380,220,3397,'LINESTRING (8.628955 49.33342375, 8.6286686 49.33322945)'
virtual_relation/5596469:c:1-400-220,virtual_relation/5596469:c:1-400,virtual_way/905049974:1-220,400,220,7150,'LINESTRING (18.12120404 53.12606248, 18.12085316 53.12589452)'
virtual_relation/5645821:1-380-220,virtual_way/1104719996:0-380,virtual_way/378945325:a:0-220,380,220,3397,'LINESTRING (8.98624254 47.1909667, 8.98596657 47.19077314)'
virtual_relation/6031720:b:1-220-132,virtual_relation/6031720:b:1-220,virtual_way/205799616:1-132,220,132,1967,'LINESTRING (7.91662908 47.30185352, 7.91635652 47.30165728)'
virtual_relation/6359580:b:1-400-380,virtual_relation/6359580:b:1-400,virtual_way/59099545:0-380,400,380,7150,'LINESTRING (7.44504663 45.59727888, 7.44478417 45.59708132)'
virtual_relation/6842817:0-220-132,virtual_way/1323461404:1-220,virtual_way/1323461404:1-132,220,132,492,'LINESTRING (-0.00322253 39.95866254, -0.00346079 39.9588054)'
virtual_relation/6842817:0-400-132,virtual_way/463302753:b:1-400,virtual_way/1323461404:1-132,400,132,7150,'LINESTRING (-0.00317983 39.95889553, -0.00346079 39.9588054)'
virtual_relation/6842817:0-400-220,virtual_way/463302753:b:1-400,virtual_way/1323461404:1-220,400,220,7150,'LINESTRING (-0.00317983 39.95889553, -0.00322253 39.95866254)'
virtual_relation/6848538:a:1-220-132,virtual_relation/6848538:a:1-220,virtual_way/446060449:1-132,220,132,1967,'LINESTRING (-0.07814492 39.96757729, -0.07836048 39.96736171)'
virtual_way/1000512859:0-420-132,virtual_way/1000512859:0-420,virtual_way/264541288:1-132,420,132,7508,'LINESTRING (6.2893857 58.99537078, 6.289038 58.99517033)'
virtual_way/1000512861:1-420-132,virtual_way/1000512861:1-420,virtual_way/258411629:0-132,420,132,7508,'LINESTRING (6.08872952 58.87070744, 6.08838416 58.8705065)'
virtual_way/1016396449:1-220-132,virtual_way/143483690:0-220,virtual_way/1016396449:1-132,220,132,1475,'LINESTRING (-7.94982541 42.35616599, -7.95001996 42.35593516)'
virtual_way/104614737:1-220-132,virtual_way/104614737:1-220,virtual_way/104864756:1-132,220,132,1475,'LINESTRING (8.36311494 46.29508846, 8.36284581 46.29489325)'
virtual_way/1050276660:1-400-220,virtual_way/1050276660:1-400,virtual_way/170000475:0-220,400,220,7150,'LINESTRING (18.12960662 53.10966591, 18.12925585 53.10949797)'
virtual_way/1056446755:1-220-145,virtual_way/1056446756:1-220,virtual_way/1056446755:1-145,220,145,492,'LINESTRING (16.46287437 59.60824335, 16.46246511 59.60807076)'
virtual_way/107153162:0-380-220,virtual_way/24462486:1-380,virtual_way/24462486:1-220,380,220,3397,'LINESTRING (6.6362207 51.62203354, 6.63592878 51.62183433)'
