bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
relation/10695345-132,132,f,Substation,f,relation/10695345,1.34639802,51.30999471,GB,POINT (1.34639802 51.30999471)
relation/10695345-400,400,f,Substation,f,relation/10695345,1.34666458,51.31020638,GB,POINT (1.34666458 51.31020638)
relation/10717041-150,150,f,Substation,f,relation/10717041,12.58292383,41.84546056,IT,POINT (12.58292383 41.84546056)
relation/10876752-132,132,f,Substation,f,relation/10876752,6.0686082,59.02276579,NO,POINT (6.0686082 59.02276579)
relation/10925187-132,132,f,Substation,f,way/785476559,-1.49544134,53.77759196,GB,POINT (-1.49544134 53.77759196)
relation/10925187-275,275,f,Substation,f,relation/10925187,-1.49517472,53.77780995,GB,POINT (-1.49517472 53.77780995)
relation/10983935-132,132,f,Substation,f,relation/10983935,-1.15764118,41.59186852,ES,POINT (-1.15764118 41.59186852)
relation/11036958-300,300,f,Substation,f,relation/11036958,6.67072995,59.48447803,NO,POINT (6.67072995 59.48447803)
relation/11036958-420,420,f,Substation,f,relation/11036958,6.67108467,59.48467757,NO,POINT (6.67108467 59.48467757)
relation/11051275-132,132,f,Substation,f,relation/11051275,-2.67059652,54.29754286,GB,POINT (-2.67059652 54.29754286)
relation/11051275-400,400,f,Substation,f,relation/11051275,-2.67033299,54.29776336,GB,POINT (-2.67033299 54.29776336)
relation/11087516-132,132,f,Substation,f,relation/11087516,12.67796281,57.51627018,SE,POINT (12.67796281 57.51627018)
relation/11097406-132,132,f,Substation,f,relation/11097406,11.73468881,58.83743491,SE,POINT (11.73468881 58.83743491)
relation/11097406-420,420,f,Substation,f,relation/11097406,11.7351254,58.83748987,SE,POINT (11.7351254 58.83748987)
relation/11151227-150,150,f,Substation,f,relation/11151227,12.19575514,41.92846199,IT,POINT (12.19575514 41.92846199)
relation/11278540-225,225,f,Substation,f,relation/11278540,4.71480804,44.32939109,FR,POINT (4.71480804 44.32939109)
relation/11278540-400,400,f,Substation,f,relation/11278540,4.7150552,44.32959535,FR,POINT (4.7150552 44.32959535)
relation/11334274-400,400,f,Substation,f,relation/11334274,12.26369106,57.9156257,SE,POINT (12.26369106 57.9156257)
relation/11372549-225,225,f,Substation,f,relation/11372549,3.06545759,50.62087834,FR,POINT (3.06545759 50.62087834)
relation/11497016-132,132,f,Substation,f,relation/11497016,12.23761543,58.28152345,SE,POINT (12.23761543 58.28152345)
relation/11512349-300,300,f,Substation,f,relation/11512349,5.98676228,59.84621228,NO,POINT (5.98676228 59.84621228)
relation/11520073-132,132,f,Substation,f,relation/11520073,5.30253548,61.77141408,NO,POINT (5.30253548 61.77141408)
relation/11520250-132,132,f,Substation,f,relation/11520250,5.78975283,61.84391056,NO,POINT (5.78975283 61.84391056)
relation/11543333-132,132,f,Substation,f,relation/11543333,-1.55476643,54.7052802,GB,POINT (-1.55476643 54.7052802)
relation/11543333-400,400,f,Substation,f,relation/11543333,-1.55449468,54.70549839,GB,POINT (-1.55449468 54.70549839)
relation/11547182-132,132,f,Substation,f,relation/11547182,10.80779681,59.35857065,NO,POINT (10.80779681 59.35857065)
relation/11556053-132,132,f,Substation,f,relation/11556053,5.76735798,58.64153902,NO,POINT (5.76735798 58.64153902)
relation/11567744-132,132,f,Substation,f,relation/11567744,9.68677997,59.05897756,NO,POINT (9.68677997 59.05897756)
relation/11568632-132,132,f,Substation,f,relation/11568631,9.47651579,59.12877615,NO,POINT (9.47651579 59.12877615)
relation/11568632-420,420,f,Substation,f,relation/11568632,9.47688263,59.12896837,NO,POINT (9.47688263 59.12896837)
relation/11571309-132,132,f,Substation,f,relation/11571309,10.09076334,64.07082484,NO,POINT (10.09076334 64.07082484)
relation/11601413-132,132,f,Substation,f,relation/11601413,10.40354965,59.14202993,NO,POINT (10.40354965 59.14202993)
relation/11601416-132,132,f,Substation,f,relation/11601416,10.39977977,59.21793833,NO,POINT (10.39977977 59.21793833)
relation/11601417-132,132,f,Substation,f,relation/11601417,10.28610136,59.22995121,NO,POINT (10.28610136 59.22995121)
relation/11636421-132,132,f,Substation,f,relation/11636421,14.16590264,66.33674185,NO,POINT (14.16590264 66.33674185)
relation/11749977-132,132,f,Substation,f,relation/11749977,0.82584643,52.82896568,GB,POINT (0.82584643 52.82896568)
relation/11781403-132,132,f,Substation,f,relation/11781403,7.82674458,61.31260775,NO,POINT (7.82674458 61.31260775)
relation/11920290-132,132,f,Substation,f,relation/11920290,-1.35921048,41.49164711,ES,POINT (-1.35921048 41.49164711)
relation/11964241-132,132,f,Substation,f,relation/11964241,12.21445943,58.29410864,SE,POINT (12.21445943 58.29410864)
relation/11964241-400,400,f,Substation,f,relation/11964241,12.21483209,58.29429337,SE,POINT (12.21483209 58.29429337)
relation/11971282-400,400,f,Substation,f,relation/11971282,16.45591501,62.41934913,SE,POINT (16.45591501 62.41934913)
relation/11981383,450,t,Substation,f,relation/11981383,6.8661568391267895,58.28250865848761,NO,POINT (6.8661568391267895 58.28250865848761)
relation/12254347-132,132,f,Substation,f,relation/12254347,12.97765128,65.32406939,NO,POINT (12.97765128 65.32406939)
relation/12274653-420,420,f,Substation,f,relation/12274653,6.60224008,59.56033427,NO,POINT (6.60224008 59.56033427)
relation/12277754-300,300,f,Substation,f,relation/12277754,8.97150096,60.70524497,NO,POINT (8.97150096 60.70524497)
relation/12543034-132,132,f,Substation,f,relation/12543034,-3.2994374,51.57432775,GB,POINT (-3.2994374 51.57432775)
relation/12543034-275,275,f,Substation,f,relation/12543034,-3.29919116,51.57454936,GB,POINT (-3.29919116 51.57454936)
relation/12567833-132,132,f,Substation,f,relation/12567833,6.92446997,46.36454885,CH,POINT (6.92446997 46.36454885)
relation/12606773-220,220,f,Substation,f,relation/12606773,16.66843374,62.94744562,SE,POINT (16.66843374 62.94744562)
relation/12649621-150,150,f,Substation,f,relation/12649621,12.82359344,41.57944215,IT,POINT (12.82359344 41.57944215)
relation/12677642-132,132,f,Substation,f,relation/12677642,-3.89822605,51.62505459,GB,POINT (-3.89822605 51.62505459)
relation/12678806-132,132,f,Substation,f,relation/12678806,6.08173343,59.00297675,NO,POINT (6.08173343 59.00297675)
